schema_version,run_id,created_at_utc,prediction_date,as_of_date,data_snapshot_hash,config_hash,target_mode,band,imputed_features,macro_snapshot_hash,macro_history_mode,prediction,p_down,p_flat,p_up,model,record_id,kind,horizon_days,target_date,horizon,trading_days,current_close,signal,predicted_return,predicted_close,center_close,low_close,high_close,band_coverage,vol_model,model_mae,zero_baseline_mae,mae_diff_lo,mae_diff_hi,oof_slope,actual_open,actual_close,actual_return,actual_class,direction_correct,price_error,absolute_price_error,price_ape,return_error,interval_hit,center_price_error,log_loss,brier,status,is_prospective,actual_updated_at_utc,runtime,versions_hash,raw_predicted_return,predicted_open,center_open,low_open,high_open,gap_sign_auc,gap_corr,event_flags,source_model
2,20260906T070239_383ae9a0bc9c,2026-09-06 07:02:46.507827+00:00,2026-09-07,2026-09-04,d3974f1cd0399082f1f7,0464a8f5fe0430d37f44,close_to_close,0.0142953828943315,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,상승,0.2248209873593668,0.3605971006677941,0.414581911972839,Logistic,20260906T070239_383ae9a0bc9c:direction:Logistic,direction,1,2026-09-07,,,,,,,,,,,,,,,,,1737000.0,1783000.0,0.08257437765634479,2.0,1.0,,,,,,,0.8804847075905436,0.5232890831566366,scored,True,2026-09-20T05:08:24.234384+00:00,,,,,,,,,,,
2,20260906T070239_383ae9a0bc9c,2026-09-06 07:02:46.507827+00:00,2026-09-07,2026-09-04,d3974f1cd0399082f1f7,0464a8f5fe0430d37f44,close_to_close,0.0142953828943315,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,상승,0.1716078599345654,0.2628268255034225,0.5655653145620121,LightGBM,20260906T070239_383ae9a0bc9c:direction:LightGBM,direction,1,2026-09-07,,,,,,,,,,,,,,,,,1737000.0,1783000.0,0.08257437765634479,2.0,1.0,,,,,,,0.569929491312034,0.2872606937071314,scored,True,2026-09-20T05:08:24.234384+00:00,,,,,,,,,,,
2,20260906T070239_383ae9a0bc9c,2026-09-06 07:02:46.507827+00:00,2026-09-07,2026-09-04,d3974f1cd0399082f1f7,0464a8f5fe0430d37f44,close_to_close,0.0142953828943315,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,상승,0.1982144236469661,0.3117119630856083,0.4900736132674256,Mean ensemble,20260906T070239_383ae9a0bc9c:direction:Mean ensemble,direction,1,2026-09-07,,,,,,,,,,,,,,,,,1737000.0,1783000.0,0.08257437765634479,2.0,1.0,,,,,,,0.7131996680030237,0.3964782255585216,scored,True,2026-09-20T05:08:24.234384+00:00,,,,,,,,,,,
2,20260906T070239_383ae9a0bc9c,2026-09-06 07:02:46.507827+00:00,2026-09-07,2026-09-04,d3974f1cd0399082f1f7,0464a8f5fe0430d37f44,close_to_close,0.0142953828943315,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,상승,0.171086708762461,0.2975677083379072,0.5313455828996319,No macro ensemble,20260906T070239_383ae9a0bc9c:direction:No macro ensemble,direction,1,2026-09-07,,,,,,,,,,,,,,,,,1737000.0,1783000.0,0.08257437765634479,2.0,1.0,,,,,,,0.6323426541750596,0.33745416562833075,scored,True,2026-09-20T05:08:24.234384+00:00,,,,,,,,,,,
2,20260906T070239_383ae9a0bc9c,2026-09-06 07:02:46.507827+00:00,2026-09-07,2026-09-04,d3974f1cd0399082f1f7,0464a8f5fe0430d37f44,close_to_close,0.0142953828943315,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,,,,,Ridge,20260906T070239_383ae9a0bc9c:price:1,price,1,2026-09-07,1거래일,1.0,1647000.0,있음,0.0135688904993412,1669347.962652415,1669347.962652415,1571376.066801102,1767319.8585037277,0.8050314465408805,simple,0.0308032088707645,0.0336644703129622,-0.0038927575871441,-0.0019121128263163,1.0,1737000.0,1783000.0,0.08257437765634479,,,-113652.03734758496,113652.03734758496,0.06374202879842118,-0.06900548715700358,0.0,-113652.03734758496,,,scored,True,2026-09-20T05:08:24.234384+00:00,,,,,,,,,,,
2,20260906T070239_383ae9a0bc9c,2026-09-06 07:02:46.507827+00:00,2026-09-07,2026-09-04,d3974f1cd0399082f1f7,0464a8f5fe0430d37f44,close_to_close,0.0142953828943315,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,,,,,Ridge,20260906T070239_383ae9a0bc9c:price:5,price,5,2026-09-11,1주일,5.0,1647000.0,없음,,,1647000.0,1424175.2606330032,1869824.7393669968,0.7494736842105263,simple,0.0765736141161254,0.0787935772918985,0.0,0.0,0.0,1773000.0,1812000.0,0.10018214936247727,,,,,,,1.0,-165000.0,,,scored,True,2026-09-20T05:08:24.234384+00:00,,,,,,,,,,,
2,20260906T070239_383ae9a0bc9c,2026-09-06 07:02:46.507827+00:00,2026-09-07,2026-09-04,d3974f1cd0399082f1f7,0464a8f5fe0430d37f44,close_to_close,0.0142953828943315,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,,,,,Ridge,20260906T070239_383ae9a0bc9c:price:20,price,20,2026-10-07,1개월,20.0,1647000.0,있음,0.0440980067097748,1719629.417050999,1719629.417050999,1236766.748975163,2202492.0851268345,0.6801705756929638,simple,0.2006015354844252,0.199479058883374,-0.0059553818983713,0.0056006870470355,0.4396075113307627,,,,,,,,,,,,,,pending,True,2026-09-20T05:08:24.234384+00:00,,,,,,,,,,,
3,20260906T234747_8ecf765973f1,2026-09-06 23:47:54.568313+00:00,2026-09-07,2026-09-04,d15fe5eb92df79d15f75,cb6a70d1f50a0681a9bb,close_to_close,0.0142953828943315,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,상승,0.2298438699716853,0.3562763336175149,0.4138797964107998,Logistic,20260906T234747_8ecf765973f1:direction:Logistic,direction,1,2026-09-07,,,,,,,,,,,,,,,,,1737000.0,1783000.0,0.08257437765634479,2.0,1.0,,,,,,,0.8821796941494422,0.5232979235149452,scored,True,2026-09-20T05:08:24.234384+00:00,github-actions,7fa00c14b86e,,,,,,,,,
3,20260906T234747_8ecf765973f1,2026-09-06 23:47:54.568313+00:00,2026-09-07,2026-09-04,d15fe5eb92df79d15f75,cb6a70d1f50a0681a9bb,close_to_close,0.0142953828943315,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,상승,0.15856580677699,0.2688104292612815,0.5726237639617285,LightGBM,20260906T234747_8ecf765973f1:direction:LightGBM,direction,1,2026-09-07,,,,,,,,,,,,,,,,,1737000.0,1783000.0,0.08257437765634479,2.0,1.0,,,,,,,0.5575263853250767,0.28005260908871243,scored,True,2026-09-20T05:08:24.234384+00:00,github-actions,7fa00c14b86e,,,,,,,,,
3,20260906T234747_8ecf765973f1,2026-09-06 23:47:54.568313+00:00,2026-09-07,2026-09-04,d15fe5eb92df79d15f75,cb6a70d1f50a0681a9bb,close_to_close,0.0142953828943315,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,상승,0.1942048383743377,0.3125433814393982,0.4932517801862641,Mean ensemble,20260906T234747_8ecf765973f1:direction:Mean ensemble,direction,1,2026-09-07,,,,,,,,,,,,,,,,,1737000.0,1783000.0,0.08257437765634479,2.0,1.0,,,,,,,0.7067355249906102,0.39219264281396615,scored,True,2026-09-20T05:08:24.234384+00:00,github-actions,7fa00c14b86e,,,,,,,,,
3,20260906T234747_8ecf765973f1,2026-09-06 23:47:54.568313+00:00,2026-09-07,2026-09-04,d15fe5eb92df79d15f75,cb6a70d1f50a0681a9bb,close_to_close,0.0142953828943315,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,상승,0.1886637315961989,0.3417613374030909,0.46957493100071,No macro ensemble,20260906T234747_8ecf765973f1:direction:No macro ensemble,direction,1,2026-09-07,,,,,,,,,,,,,,,,,1737000.0,1783000.0,0.08257437765634479,2.0,1.0,,,,,,,0.7559273956225349,0.4337455691862534,scored,True,2026-09-20T05:08:24.234384+00:00,github-actions,7fa00c14b86e,,,,,,,,,
3,20260906T234747_8ecf765973f1,2026-09-06 23:47:54.568313+00:00,2026-09-07,2026-09-04,d15fe5eb92df79d15f75,cb6a70d1f50a0681a9bb,close_to_close,0.0142953828943315,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,,,,,Ridge,20260906T234747_8ecf765973f1:price:1,price,1,2026-09-07,1거래일,1.0,1647000.0,있음,0.0128873556540735,1668225.4747622593,1668225.4747622593,1570180.8619951636,1766270.0875293547,0.8029350104821803,simple,0.0307446777343643,0.0336644703129622,-0.0039229285342414,-0.0019679892153234,1.0,1737000.0,1783000.0,0.08257437765634479,,,-114774.52523774072,114774.52523774072,0.06437157893311313,-0.06968702200227128,0.0,-114774.52523774072,,,scored,True,2026-09-20T05:08:24.234384+00:00,github-actions,7fa00c14b86e,,,,,,,,,
3,20260906T234747_8ecf765973f1,2026-09-06 23:47:54.568313+00:00,2026-09-07,2026-09-04,d15fe5eb92df79d15f75,cb6a70d1f50a0681a9bb,close_to_close,0.0142953828943315,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,,,,,Ridge,20260906T234747_8ecf765973f1:price:5,price,5,2026-09-11,1주일,5.0,1647000.0,없음,,,1647000.0,1424175.239992926,1869824.760007074,0.7494736842105263,simple,0.0758787140145595,0.0787935772918985,0.0,0.0,0.0,1773000.0,1812000.0,0.10018214936247727,,,,,,,1.0,-165000.0,,,scored,True,2026-09-20T05:08:24.234384+00:00,github-actions,7fa00c14b86e,,,,,,,,,
3,20260906T234747_8ecf765973f1,2026-09-06 23:47:54.568313+00:00,2026-09-07,2026-09-04,d15fe5eb92df79d15f75,cb6a70d1f50a0681a9bb,close_to_close,0.0142953828943315,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,,,,,Ridge,20260906T234747_8ecf765973f1:price:20,price,20,2026-10-07,1개월,20.0,1647000.0,있음,0.0340024573455885,1703002.0472481844,1703002.0472481844,1220377.52476492,2185626.569731449,0.6801705756929638,simple,0.1978842734450201,0.199479058883374,-0.0060353264782457,0.0034123388615011,0.4176506823446645,,,,,,,,,,,,,,pending,True,2026-09-20T05:08:24.234384+00:00,github-actions,7fa00c14b86e,,,,,,,,,
3,20260907T081235_13f5df5a2f7f,2026-09-07 08:12:44.664958+00:00,2026-09-08,2026-09-07,c92e110ee9e1271ae7ec,a5cc2a709bb33ff3d7f7,close_to_close,0.0146249079769912,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,,,,,Ridge,20260907T081235_13f5df5a2f7f:open:1,open,1,2026-09-08,시초가,1.0,1783000.0,있음,0.0180536638945341,,,,,0.8170731707317073,,0.017652751458377,0.0232668343306176,-0.0070561269872334,-0.0042524368893377,1.0,1799000.0,1793000.0,0.008973639932697619,,,16189.68272395432,16189.68272395432,0.008999267773181946,0.009080023961836482,1.0,16189.68272395432,,,scored,True,2026-09-20T05:08:24.234384+00:00,github-actions,7fa00c14b86e,0.0180536638945341,1815189.6827239543,1815189.6827239543,1738225.3648092858,1892154.000638623,0.8067343489894594,0.6267964947001252,,
3,20260907T081235_13f5df5a2f7f,2026-09-07 08:12:44.664958+00:00,2026-09-08,2026-09-07,c92e110ee9e1271ae7ec,a5cc2a709bb33ff3d7f7,close_to_close,0.0146249079769912,{},7ed3ebee8562f01fbf17,lagged_latest_vintage,,,,,Ridge,20260907T081235_13f5df5a2f7f:price:20,price,20,2026-10-08,1개월,20.0,1783000.0,있음,0.037065099732602,1849087.0728232288,1849087.0728232288,1314633.838506174,2383540.307140285,0.6801705756929638,simple,0.1982815301659695,0.1999044321157107,-0.0056765419398158,0.0035471561636459,0.4204144323337561,,,,,,,,,,,,,,pending,True,2026-09-20T05:08:24.234384+00:00,github-actions,7fa00c14b86e,0.0881632429382847,,,,,,,,
