run_id,target_date,gap,p_down,p_flat,p_up,band,gap_rule_label
20260921T223136_40517eaed363,2026-09-22,-0.1,0.804254731556936,0.12293875817356008,0.07280651026950395,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.099,0.8028381013703045,0.12394884094543579,0.07321305768425965,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.098,0.8013903684137347,0.124978234250912,0.07363139733535333,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.097,0.7999110657042601,0.12602711632329597,0.07406181797244389,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.096,0.7983997249925697,0.12709567720726275,0.07450459780016752,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.095,0.796855894252729,0.12818408201043463,0.07496002373683647,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.094,0.7952791356474811,0.12929247740374197,0.07542838694877704,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.093,0.7936690020261691,0.13042102500894676,0.07590997296488422,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.092,0.7920250675555117,0.13156986207912405,0.0764050703653642,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.091,0.7903469108635803,0.13273911513067818,0.07691397400574129,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.09,0.7886341218763135,0.13392889093709667,0.07743698718658966,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.089,0.7868862837601402,0.13513931009494085,0.07797440614491889,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.088,0.7851030157008481,0.13637046858971408,0.07852651570943792,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.087,0.783283961017336,0.13762241339936915,0.0790936255832948,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.086,0.7814287163229408,0.1388952515156279,0.07967603216143143,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.085,0.7795369475627335,0.14018900718218733,0.08027404525507925,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.084,0.7776083190554686,0.14150373040355246,0.080887950540979,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.083,0.7756425552792354,0.14283940311974525,0.08151804160101918,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.082,0.7736392982852944,0.14419607638783663,0.08216462532686879,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.081,0.7715982937031627,0.1455737033304031,0.08282800296643428,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.08,0.7695192765459652,0.14697225991078908,0.08350846354324583,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.079,0.7674020167627716,0.14839168217814092,0.08420630105908747,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.078,0.7652462941914113,0.14983190813392275,0.08492179767466586,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.077,0.763051935952,0.15129283756205736,0.08565522648594265,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.076,0.7608187389338084,0.15277435729244448,0.08640690377374727,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.075,0.7585465828859502,0.15427633405068483,0.08717708306336494,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.074,0.7562353614390728,0.1557986108038724,0.08796602775705488,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.073,0.7538849521975646,0.15734101898936495,0.08877402881307059,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.072,0.7514953234673671,0.1589033435037329,0.08960133302889987,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.071,0.7490664591701945,0.1604853430731633,0.0904481977566422,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.07,0.7465983613029671,0.16208677364937568,0.09131486504765719,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.069,0.7440910320802705,0.1637073750834921,0.09220159283623752,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.068,0.7415445861203567,0.16534682802921224,0.09310858585043112,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.067,0.7389591102800763,0.16700480892414665,0.09403608079577708,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.066,0.7363347470142962,0.16868095929001897,0.09498429369568485,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.065,0.7336716647454673,0.1703749107126219,0.09595342454191089,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.064,0.7309701211461662,0.1720862271922779,0.09694365166155591,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.063,0.7282303166984264,0.17381451250848343,0.09795517079309023,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.062,0.7254525470645732,0.1755592940249099,0.098988158910517,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.061,0.7226372044483286,0.17732004279839136,0.10004275275328015,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.06,0.7197845881259402,0.17909631228471123,0.10111909958934873,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.059,0.7168951883916861,0.1808874816401007,0.10221732996821324,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.058,0.7139693866940316,0.18269304247749116,0.10333757082847729,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.057,0.711007768277806,0.18451232739517143,0.1044799043270227,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.056,0.7080108228081635,0.18634476134595906,0.10564441584587742,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.055,0.7049791149045496,0.18818969520289128,0.10683118989255916,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.054,0.7019133156029222,0.1900464193291811,0.10804026506789668,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.053,0.6988140816318003,0.19191424086834208,0.10927167749985767,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.052,0.6956821173973959,0.19379243434310656,0.1105254482594975,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.051,0.6925182072601721,0.1956802103381486,0.11180158240167933,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.05,0.6893231294717093,0.19757681030185148,0.11310006022643931,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.049,0.6860977442788827,0.19948142524171208,0.11442083047940524,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.048,0.6828429392102378,0.20139321050858275,0.11576385028117951,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.047,0.679559633874313,0.2033113367708701,0.11712902935481706,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.046,0.6762488041918453,0.2052348973825386,0.1185162984256161,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.045,0.672911461069904,0.20716302287957383,0.11992551605052225,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.044,0.6695486174423619,0.20909479836116882,0.12135658419646927,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.043,0.6661613987804567,0.2110292914078775,0.12280930981166593,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.042,0.66275091315394,0.2129655481015099,0.12428353874455014,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.041,0.6593183802400822,0.21490256786177056,0.12577905189814736,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.04,0.6543817801793077,0.2176809439802717,0.12793727584042056,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.039,0.6509086417810852,0.219616608793688,0.1294747494252268,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.038,0.641377472562738,0.2277549856667314,0.13086754177053056,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.037,0.6330908023330915,0.2332557781347958,0.13365341953211268,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.036,0.609976369701049,0.2467690871734698,0.1432545431254813,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.035,0.6064374985707004,0.2486898385120047,0.14487266291729495,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.034,0.5934028265768879,0.26209297930234715,0.14450419412076493,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.033,0.58983920657179,0.26400009337056135,0.14616070005764875,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.032,0.5678996239860298,0.2773616278430998,0.15473874817087033,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.031,0.5643168947840207,0.27925093535673345,0.156432169859246,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.03,0.5488135243919938,0.29598929539269336,0.15519718021531284,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.029,0.545217498160058,0.29785660565265537,0.15692589618728672,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.028,0.5416170530683112,0.2997113580772282,0.1586715888544606,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.027,0.5394639536099892,0.2997435319925432,0.1607925143974675,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.026,0.5358590687442956,0.3015701045225507,0.16257082673315387,0.010668718407191769,하락
20260921T223136_40517eaed363,2026-09-22,-0.025,0.5233651580194094,0.3092065544970287,0.1674282874835618,0.010668718407191769,하락
