target,cell,horizon,comparison,metric,window,delta,common_n,calibrated,ci_lo,ci_hi,block
sk_hynix,open,1,aci_g0.005_w500 - current,interval_score,evaluation,-0.001110795437921031,573,True,-0.002863158659731204,0.00027733836701671966,month
sk_hynix,open,1,aci_g0.005_w500 - current,interval_score,evaluation,-0.001110795437921031,573,True,-0.002339390760785943,0.0003316671880440186,contiguous_20
sk_hynix,open,1,aci_g0.005_w500 - current,interval_coverage,evaluation,-0.015706806282722585,573,True,-0.02739843511360699,-0.005101824261113564,month
sk_hynix,open,1,aci_g0.02_w250 - current,interval_score,evaluation,-0.0004088677086627977,573,True,-0.0021036496350357804,0.0011130113593456816,month
sk_hynix,open,1,aci_g0.02_w250 - current,interval_score,evaluation,-0.0004088677086627977,573,True,-0.001823856368476627,0.0014199319297932302,contiguous_20
sk_hynix,open,1,aci_g0.02_w250 - current,interval_coverage,evaluation,-0.01919720767888311,573,True,-0.045706281312363095,0.003747084335592823,month
sk_hynix,open,1,aci_g0.02_w500 - current,interval_score,evaluation,-0.0007525858856496173,573,True,-0.002197302169739064,0.0005473594254997434,month
sk_hynix,open,1,aci_g0.02_w500 - current,interval_score,evaluation,-0.0007525858856496173,573,True,-0.0019985253911704664,0.0008739332667363293,contiguous_20
sk_hynix,open,1,aci_g0.02_w500 - current,interval_coverage,evaluation,-0.01919720767888311,573,True,-0.04129338101102431,0.003559517496502072,month
sk_hynix,open,1,trailing_q_w250 - current,interval_score,sequential_all,-0.00011933090961731415,1145,True,-0.0007192125324616023,0.000368535973288218,month
sk_hynix,open,1,trailing_q_w250 - current,interval_score,sequential_all,-0.00011933090961731415,1145,True,-0.0005523405163001402,0.00041195571660372957,contiguous_20
sk_hynix,open,1,trailing_q_w250 - current,interval_coverage,sequential_all,0.0,1145,True,-0.006938722917512749,0.006323826145870223,month
sk_hynix,open,1,conformal_w250 - current,interval_score,sequential_all,-6.471580539629021e-05,1145,True,-0.0005726933552314893,0.00035551275173359816,month
sk_hynix,open,1,conformal_w250 - current,interval_score,sequential_all,-6.471580539629021e-05,1145,True,-0.0004381142574369823,0.00040082468043387166,contiguous_20
sk_hynix,open,1,conformal_w250 - current,interval_coverage,sequential_all,0.0026200873362446364,1145,True,-0.003597284334694387,0.00874164145836651,month
sk_hynix,open,1,trailing_q_w500 - current,interval_score,sequential_all,-0.0003124404347409955,1145,True,-0.00105037791547715,0.0001670612676236915,month
sk_hynix,open,1,trailing_q_w500 - current,interval_score,sequential_all,-0.0003124404347409955,1145,True,-0.0007701475209165359,0.00017531422900461782,contiguous_20
sk_hynix,open,1,trailing_q_w500 - current,interval_coverage,sequential_all,-0.0017467248908296096,1145,True,-0.0060607373562313275,0.0025488530161427185,month
sk_hynix,open,1,conformal_w500 - current,interval_score,sequential_all,-0.00026409246473239293,1145,True,-0.0009866870329362089,0.00019995070944052204,month
sk_hynix,open,1,conformal_w500 - current,interval_score,sequential_all,-0.00026409246473239293,1145,True,-0.0007098412950391986,0.00020173367956746952,contiguous_20
sk_hynix,open,1,conformal_w500 - current,interval_coverage,sequential_all,-0.0017467248908296096,1145,True,-0.0060607373562313275,0.0025488530161427185,month
sk_hynix,open,1,aci_g0.005_w250 - current,interval_score,sequential_all,1.9340285541058393e-05,1145,True,-0.0006842020950347949,0.0006444604102919883,month
sk_hynix,open,1,aci_g0.005_w250 - current,interval_score,sequential_all,1.9340285541058393e-05,1145,True,-0.0005651891621291486,0.0007231583027222804,contiguous_20
sk_hynix,open,1,aci_g0.005_w250 - current,interval_coverage,sequential_all,-0.004366812227074135,1145,True,-0.015294710650306723,0.006025271946415391,month
sk_hynix,open,1,aci_g0.005_w500 - current,interval_score,sequential_all,-0.00038469422023967094,1145,True,-0.0013416116130044668,0.0003320904943995066,month
sk_hynix,open,1,aci_g0.005_w500 - current,interval_score,sequential_all,-0.00038469422023967094,1145,True,-0.0010159355282218856,0.000363569235322124,contiguous_20
sk_hynix,open,1,aci_g0.005_w500 - current,interval_coverage,sequential_all,-0.0017467248908296096,1145,True,-0.010257731958762853,0.006791460217363747,month
sk_hynix,open,1,aci_g0.02_w250 - current,interval_score,sequential_all,2.5778200907896943e-05,1145,True,-0.00096465663930975,0.0008750383269776064,month
sk_hynix,open,1,aci_g0.02_w250 - current,interval_score,sequential_all,2.5778200907896943e-05,1145,True,-0.0007739030728351735,0.0010562107831344676,contiguous_20
sk_hynix,open,1,aci_g0.02_w250 - current,interval_coverage,sequential_all,-0.005240174672489051,1145,True,-0.022939883363166123,0.011747200270044821,month
sk_hynix,open,1,aci_g0.02_w500 - current,interval_score,sequential_all,-0.00011916299042055782,1145,True,-0.0009744709842942851,0.0006118103934452352,month
sk_hynix,open,1,aci_g0.02_w500 - current,interval_score,sequential_all,-0.00011916299042055782,1145,True,-0.0008483642527161392,0.0007615159069133656,contiguous_20
sk_hynix,open,1,aci_g0.02_w500 - current,interval_coverage,sequential_all,-0.006113537117903856,1145,True,-0.020889095457465853,0.009066239193266625,month
sk_hynix,1,1,trailing_q_w250 - current,interval_score,selection,0.0002687679256076006,476,True,-0.0004573838604049419,0.0011156052458729355,month
sk_hynix,1,1,trailing_q_w250 - current,interval_score,selection,0.0002687679256076006,476,True,-0.0003261931733154115,0.0010600024322208954,contiguous_20
sk_hynix,1,1,trailing_q_w250 - current,interval_coverage,selection,-0.018907563025210017,476,True,-0.03138630202971372,-0.006223744233396027,month
