target,cell,horizon,candidate,fold,evaluation_stage,n,interval_coverage,coverage_ci_lo,coverage_ci_hi,mean_halfwidth,interval_score,mean_q,start,end,score_delta,score_delta_ci_lo,score_delta_ci_hi,verdict
sk_hynix,open,1,current,selection,selection,572,0.7937062937062938,0.7569894146948941,0.8316550460355769,0.016712178095365272,0.05315306562752999,1.070260483320878,2021-11-11,2024-04-03,,,,
sk_hynix,open,1,trailing_q_w250,selection,selection,572,0.8006993006993007,0.7605165796620643,0.839931694350402,0.016761302113682555,0.053291961526284036,1.0712851701366561,2021-11-11,2024-04-03,0.0001388958987540486,-0.00012272993969368533,0.00040061185408110894,동률
sk_hynix,open,1,conformal_w250,selection,selection,572,0.8024475524475524,0.7631511123168747,0.8409485928503525,0.016918396667758993,0.053332948559978825,1.0815103797487127,2021-11-11,2024-04-03,0.00017988293244883185,-6.332169833594694e-05,0.00042828107335916274,동률
sk_hynix,open,1,trailing_q_w500,selection,selection,572,0.7972027972027972,0.7602026696287372,0.8344738766712001,0.01681671380572012,0.05327366387990841,1.0756720718887771,2021-11-11,2024-04-03,0.00012059825237841088,-2.4281530728479498e-06,0.0002657313623762871,동률
sk_hynix,open,1,conformal_w500,selection,selection,572,0.7972027972027972,0.7602026696287372,0.8344738766712001,0.016870194383602103,0.053279494708607086,1.0791490565092796,2021-11-11,2024-04-03,0.00012642908107709917,-1.500119290447345e-05,0.00028635562644094243,동률
sk_hynix,open,1,aci_g0.005_w250,selection,selection,572,0.8024475524475524,0.7633448991696323,0.8402283281733746,0.017074026874507868,0.053454280066971026,1.0902006397289694,2021-11-11,2024-04-03,0.00030121443944103126,-4.8347193188951595e-05,0.000678270160145502,동률
sk_hynix,open,1,aci_g0.005_w500,selection,selection,572,0.8059440559440559,0.7690903526096348,0.8412989878780746,0.0171188801749597,0.0534957420326949,1.0924440233605186,2021-11-11,2024-04-03,0.00034267640516490855,8.4007615103272e-05,0.0006320715858735031,점수 열위
sk_hynix,open,1,aci_g0.02_w250,selection,selection,572,0.8024475524475524,0.7636046231101898,0.8375420619973758,0.017065041480313212,0.05361424960847986,1.0877563024689723,2021-11-11,2024-04-03,0.0004611839809498691,-0.00035671489546147065,0.0012788439684108244,동률
sk_hynix,open,1,aci_g0.02_w500,selection,selection,572,0.8006993006993007,0.7653060134447915,0.8345629664637141,0.017276284911254124,0.05366843291502246,1.1004589829315605,2021-11-11,2024-04-03,0.0005153672874924685,-0.00016932673058065795,0.0012623585212246007,동률
sk_hynix,open,1,current,evaluation,evaluation,573,0.8237347294938918,0.7909897353799793,0.8571428571428571,0.03218179312852247,0.0911834654190446,1.070260483320878,2024-04-04,2026-09-09,,,,
sk_hynix,open,1,trailing_q_w250,evaluation,evaluation,573,0.8167539267015707,0.7827548725637181,0.8508809480894015,0.03099914413405435,0.09080635835866217,1.0294851593598735,2024-04-04,2026-09-09,-0.00037710706038244406,-0.0014754523890623784,0.0004816292838901227,동률
sk_hynix,open,1,conformal_w250,evaluation,evaluation,573,0.8202443280977313,0.7861025048911127,0.8546524159667155,0.0313002799785063,0.09087457774969122,1.0383391164762583,2024-04-04,2026-09-09,-0.0003088876693533753,-0.0012308749648513365,0.00042193330762161415,동률
sk_hynix,open,1,trailing_q_w500,evaluation,evaluation,573,0.8167539267015707,0.7837837837837838,0.8510667258755841,0.0310467180625861,0.09043874203660325,1.0456924781401717,2024-04-04,2026-09-09,-0.0007447233824413455,-0.0021289384327774215,0.00023488444712122653,동률
