target,horizon,candidate,fold,evaluation_stage,n,mae,rmse,mae_calibrated,mae_issued,issuance_rate,mean_abs_raw,mean_train_rows,mean_slope,seconds_per_fold,zero_mae,train_rows,slope,issued,setting
samsung,5,a1000_expanding,dev_05,dev_fold,123,0.03118824990938323,,,,,,,,,0.021565951031904906,1400,0.0,False,a1000_expanding
samsung,5,a1000_expanding,dev_06,dev_fold,121,0.022167572461692472,,,,,,,,,0.022377420750356043,1523,0.0507792278040261,True,a1000_expanding
samsung,5,a1000_expanding,dev_07,dev_fold,121,0.0252552603893492,,,,,,,,,0.026629143562935085,1644,0.06827521224840787,True,a1000_expanding
samsung,5,a1000_expanding,dev_08,dev_fold,123,0.04738626612743866,,,,,,,,,0.04194117180688839,1765,0.0885244839875973,True,a1000_expanding
samsung,5,a1000_expanding,dev_09,dev_fold,117,0.03720531101352409,,,,,,,,,0.03560835457832171,1888,0.07476801176896548,True,a1000_expanding
samsung,5,a10000_5y,dev_all,dev_common,1086,0.02687307309543779,0.03498834972492523,0.026673455343567458,0.026677131019781076,0.6666666666666666,0.003973826023471714,1153.0,0.32706423285076364,0.012475599998853996,,,,,
samsung,5,a10000_5y,dev_01,dev_fold,123,0.021321296548760436,,,,,,,,,0.020425511239914422,919,0.5411045968237199,True,a10000_5y
samsung,5,a10000_5y,dev_02,dev_fold,125,0.02316768355363102,,,,,,,,,0.02317588207769075,1042,0.36505619973079717,False,a10000_5y
samsung,5,a10000_5y,dev_03,dev_fold,108,0.024740008361445364,,,,,,,,,0.023558580820918305,1167,0.8138572915711084,True,a10000_5y
samsung,5,a10000_5y,dev_04,dev_fold,125,0.023186346619859393,,,,,,,,,0.02345902434870286,1187,0.0,False,a10000_5y
samsung,5,a10000_5y,dev_05,dev_fold,123,0.02237878201029323,,,,,,,,,0.021565951031904906,1210,0.0,False,a10000_5y
samsung,5,a10000_5y,dev_06,dev_fold,121,0.02224285635171602,,,,,,,,,0.022377420750356043,1215,0.22629992400670515,True,a10000_5y
samsung,5,a10000_5y,dev_07,dev_fold,121,0.02624201783711239,,,,,,,,,0.026629143562935085,1213,0.41178535106156494,True,a10000_5y
samsung,5,a10000_5y,dev_08,dev_fold,123,0.04327300374621539,,,,,,,,,0.04194117180688839,1213,0.49270857879555247,True,a10000_5y
samsung,5,a10000_5y,dev_09,dev_fold,117,0.03550105817544199,,,,,,,,,0.03560835457832171,1211,0.09276615366742488,True,a10000_5y
samsung,5,a10000_expanding,dev_all,dev_common,1086,0.02687252011203428,0.035047711516950755,0.02663472149542065,0.026638397171634267,0.6666666666666666,0.004457905568177415,1402.5555555555557,0.3312916362666071,0.012394955555565603,,,,,
samsung,5,a10000_expanding,dev_01,dev_fold,123,0.021321296548760436,,,,,,,,,0.020425511239914422,919,0.5411045968237199,True,a10000_expanding
samsung,5,a10000_expanding,dev_02,dev_fold,125,0.02316768355363102,,,,,,,,,0.02317588207769075,1042,0.36505619973079717,False,a10000_expanding
samsung,5,a10000_expanding,dev_03,dev_fold,108,0.024740008361445364,,,,,,,,,0.023558580820918305,1167,0.8138572915711084,True,a10000_expanding
samsung,5,a10000_expanding,dev_04,dev_fold,125,0.023231661966246174,,,,,,,,,0.02345902434870286,1275,0.0,False,a10000_expanding
samsung,5,a10000_expanding,dev_05,dev_fold,123,0.022778761169903884,,,,,,,,,0.021565951031904906,1400,0.0,False,a10000_expanding
