target,model,fold,seed,mae,rmse,direction_hit,direction_n,n
sk_hynix,persistence,lock,,0.0956686453317845,0.1215820698297281,,0,158
sk_hynix,ohlcv_ridge,lock,,0.09534041172503634,0.12022005271581099,0.5379746835443038,158,158
sk_hynix,operational_ridge,lock,,0.09487729102538542,0.12015392015429337,0.569620253164557,158,158
sk_hynix,tcn_seed42,lock,42.0,0.09309970498093292,0.1184324063940412,0.5759493670886076,158,158
sk_hynix,tcn_seed43,lock,43.0,0.09215721198738622,0.11802849452701339,0.5759493670886076,158,158
sk_hynix,tcn_seed44,lock,44.0,0.09273535301795773,0.11829479090135038,0.5949367088607594,158,158
sk_hynix,tcn_mean,lock,,0.09243937560414094,0.11791240766059913,0.5886075949367089,158,158
