target,horizon,candidate,fold,evaluation_stage,n,log_loss,brier,balanced_accuracy,accuracy,class_share_dev,metric_note,C,temperature,inner_log_loss,train_rows,train_class_share
sk_hynix,20,logistic_direction,dev_07,dev_fold,121,1.0327849395193283,0.6231465812413368,0.44608944701476094,,,,0.003,2.0,1.0651846292275537,1613,"[0.3205, 0.2691, 0.4104]"
sk_hynix,20,logistic_direction,dev_08,dev_fold,123,1.1040600681053212,0.6712802045219944,0.3880105401844532,,,,0.003,2.0,1.0701700763881368,1734,"[0.3057, 0.2618, 0.4325]"
sk_hynix,20,logistic_direction,dev_09,dev_fold,117,1.1351666121265342,0.6949943725738621,0.21494252873563222,,,,0.003,1.5,1.0611844732661297,1857,"[0.3188, 0.2569, 0.4243]"
sk_hynix,20,class_prior,dev_all,dev_common,1081,1.0836457807308382,0.6567880085514701,0.3333333333333333,0.42738205365402404,"[0.3247, 0.2479, 0.4274]",3클래스 확률 모델. 가격 회귀의 부호 적중률과 섞지 않는다,,,,,
sk_hynix,20,class_prior,dev_01,dev_fold,123,1.167008261108705,0.7139823412720318,0.3333333333333333,,,,,,1.0850924249301883,893,"[0.3024, 0.2654, 0.4323]"
sk_hynix,20,class_prior,dev_02,dev_fold,125,1.0543569757884275,0.6366797538595076,0.3333333333333333,,,,,,1.1182454416861236,1016,"[0.2943, 0.2785, 0.4272]"
sk_hynix,20,class_prior,dev_03,dev_fold,103,1.1561201468997748,0.7104742389061359,0.3333333333333333,,,,,,1.074059546501973,1141,"[0.312, 0.2638, 0.4242]"
sk_hynix,20,class_prior,dev_04,dev_fold,125,1.0996584899776607,0.6695370912211411,0.3333333333333333,,,,,,1.1236951943606863,1244,"[0.3336, 0.2637, 0.4027]"
sk_hynix,20,class_prior,dev_05,dev_fold,123,1.089210674647094,0.6590577725092666,0.3333333333333333,,,,,,1.1000915250748944,1369,"[0.3535, 0.2608, 0.3857]"
sk_hynix,20,class_prior,dev_06,dev_fold,121,1.0831060700611,0.6529918440636192,0.3333333333333333,,,,,,1.11256581014096,1492,"[0.3385, 0.258, 0.4035]"
sk_hynix,20,class_prior,dev_07,dev_fold,121,0.9805532708877951,0.5847454793861503,0.3333333333333333,,,,,,1.0907481265750494,1613,"[0.3205, 0.2691, 0.4104]"
sk_hynix,20,class_prior,dev_08,dev_fold,123,1.0831476108580058,0.6585301932568183,0.3333333333333333,,,,,,1.0511662828394766,1734,"[0.3057, 0.2618, 0.4325]"
sk_hynix,20,class_prior,dev_09,dev_fold,117,1.048238590857129,0.6314745393044073,0.3333333333333333,,,,,,1.049123113398222,1857,"[0.3188, 0.2569, 0.4243]"
