target,target_mode,comparison,metric,delta,ci_low,ci_high,common_n,verdict
sk_hynix,close_to_close,t0900 − gap_rule,accuracy,0.0315712187958884,0.0074217262784993,0.0550185873605947,1362,후보가 유의하게 우위
sk_hynix,close_to_close,t0900 − gap_rule,auc_gap,0.0406673366936198,0.0313815606754275,0.0506864164130168,1362,후보가 유의하게 우위
sk_hynix,close_to_close,t0900 − gap_rule,auc_session,0.017356051925516,0.0033583369546237,0.0322447449548438,1362,후보가 유의하게 우위
sk_hynix,close_to_close,t0700 − gap_rule,log_loss,0.0734484740715057,0.0522490664986909,0.093541277854561,1362,후보가 유의하게 열위
sk_hynix,close_to_close,t0700 − gap_rule,balanced_accuracy,-0.0732715562532557,-0.1038474021648842,-0.0445468420546596,1362,후보가 유의하게 열위
sk_hynix,close_to_close,t0700 − gap_rule,accuracy,-0.0447870778267254,-0.0765860344685269,-0.0145454545454545,1362,후보가 유의하게 열위
sk_hynix,close_to_close,t0700 − gap_rule,auc_gap,-0.1165098194480399,-0.144566431600395,-0.0902133773696326,1362,후보가 유의하게 열위
sk_hynix,close_to_close,t0700 − gap_rule,auc_session,0.0239952752118373,-0.003105460294579,0.0539756183312762,1362,동률(CI가 0 포함)
sk_hynix,close_to_close,t0700 − 사전확률,log_loss,-0.0778326436001866,-0.093368494556912,-0.0627235231046376,1362,후보가 유의하게 우위
sk_hynix,close_to_close,t0700 − 사전확률,balanced_accuracy,0.1318335470334538,0.1102507186132188,0.1529899077626713,1362,후보가 유의하게 우위
sk_hynix,close_to_close,t0700 − 사전확률,accuracy,0.2254038179148311,0.1812907904278463,0.268082456816599,1362,후보가 유의하게 우위
sk_hynix,close_to_close,t0900 − 사전확률,log_loss,-0.1779388212477144,-0.2043745977575611,-0.1529092978476421,1362,후보가 유의하게 우위
sk_hynix,close_to_close,t0900 − 사전확률,balanced_accuracy,0.2093357096854007,0.1862130620349947,0.2326370041324845,1362,후보가 유의하게 우위
sk_hynix,close_to_close,t0900 − 사전확률,accuracy,0.3017621145374449,0.2543583308117921,0.3457961492516336,1362,후보가 유의하게 우위
sk_hynix,close_to_close,gap_rule − 사전확률,log_loss,-0.1512811176716924,-0.1737858022065893,-0.1275482026800802,1362,후보가 유의하게 우위
sk_hynix,close_to_close,gap_rule − 사전확률,balanced_accuracy,0.2051051032867095,0.1760859408186607,0.2333010286348256,1362,후보가 유의하게 우위
sk_hynix,close_to_close,gap_rule − 사전확률,accuracy,0.2701908957415565,0.2288592926348027,0.3110062259225733,1362,후보가 유의하게 우위
sk_hynix,close_to_close,t0700 − 노트북 OOF(재현 확인),log_loss,0.0,0.0,0.0,1362,동률(CI가 0 포함)
sk_hynix,close_to_close,t0700 − 노트북 OOF(재현 확인),balanced_accuracy,0.0,0.0,0.0,1362,동률(CI가 0 포함)
sk_hynix,close_to_close,t0700 − 노트북 OOF(재현 확인),accuracy,0.0,0.0,0.0,1362,동률(CI가 0 포함)
sk_hynix,session,t0900 − t0700,log_loss,-0.0010114606846209,-0.0021828031913395,0.0001738297248297,1362,동률(CI가 0 포함)
sk_hynix,session,t0900 − t0700,balanced_accuracy,-0.0014605857522886,-0.0101943174505135,0.0077853949922222,1362,동률(CI가 0 포함)
sk_hynix,session,t0900 − t0700,accuracy,-0.000734214390602,-0.0096656072977518,0.008721088794926,1362,동률(CI가 0 포함)
sk_hynix,session,t0900 − t0700,auc_gap,0.0045607516484186,-0.0001621087162645,0.0093711995048188,1362,동률(CI가 0 포함)
sk_hynix,session,t0900 − t0700,auc_session,0.0018083395811818,-0.0013671876578191,0.0051064203788506,1362,동률(CI가 0 포함)
