target,model,target_mode,fold,n,accuracy,balanced_accuracy,log_loss,brier,auc_gap,auc_session,seconds,n_features
samsung,Always flat,close_to_close,all,1367.0,0.282370153621068,0.3333333333333333,1.096575580785598,0.6655701964865692,0.4941792410394815,0.4622570311908547,0.0,
samsung,gap_rule,close_to_close,all,1367.0,0.5442574981711777,0.5423706659130998,0.96165779482153,0.570839317022557,0.9379114784599972,0.4608836777954425,0.0,
samsung,notebook OOF (No macro ensemble),close_to_close,all,1367.0,0.4542794440380395,0.4328515702853388,1.0284851743943304,0.6183444282103328,0.8096797113005787,0.4951122340828223,0.0,
samsung,t0700,close_to_close,all,1367.0,0.4542794440380395,0.4328515702853388,1.0284851743943304,0.6183444282103328,0.8096797113005787,0.4951122340828223,29.6,61.0
samsung,t0900,close_to_close,all,1367.0,0.5640087783467447,0.5397891821788309,0.9257942270013918,0.5476896499900031,0.9878626633135006,0.481156313876902,32.0,67.0
samsung,t0700,session,all,1367.0,0.387710314557425,0.3518996852330185,1.0857435621359754,0.6585289963413891,0.3582265022797439,0.5315291657203423,29.9,61.0
samsung,t0900,session,all,1367.0,0.4001463057790783,0.3615013615013615,1.0841147166077238,0.6573589239983638,0.2990911693144411,0.5298044893633129,32.2,67.0
sk_hynix,Always flat,close_to_close,all,1362.0,0.2738619676945668,0.3333333333333333,1.092427261176376,0.6627924630382617,0.4960014111173714,0.4759339944264474,0.0,
sk_hynix,gap_rule,close_to_close,all,1362.0,0.5440528634361234,0.5384384366200429,0.9411461435046836,0.5584621356583246,0.9450032232357226,0.4654376087479312,0.0,
sk_hynix,notebook OOF (No macro ensemble),close_to_close,all,1362.0,0.4992657856093979,0.4651668803667871,1.0145946175761893,0.6086088752504372,0.8284934037876827,0.4894328839597685,0.0,
sk_hynix,t0700,close_to_close,all,1362.0,0.4992657856093979,0.4651668803667871,1.0145946175761893,0.6086088752504372,0.8284934037876827,0.4894328839597685,29.3,58.0
sk_hynix,t0900,close_to_close,all,1362.0,0.5756240822320118,0.5426690430187341,0.9144884399286616,0.5405311030470263,0.9856705599293424,0.4827936606734473,30.8,64.0
sk_hynix,t0700,session,all,1362.0,0.42143906020558,0.3726326895353234,1.0731396068433112,0.6489273759778021,0.3173516677072388,0.5811088634573944,28.7,58.0
sk_hynix,t0900,session,all,1362.0,0.4207048458149779,0.3711721037830347,1.0721281461586902,0.6482941158768538,0.3219124193556574,0.5829172030385763,31.1,64.0
