target,horizon,candidate,fold,evaluation_stage,n,mae,note,mae_current_label,mae_calibrated,n_features,mean_train_rows,mean_slope,zero_mae,train_rows,slope
samsung,20,single,dev_07,dev_fold,121,0.05728905847750085,,,,,,,0.05578619313485164,2111,1.0
samsung,20,single,dev_08,dev_fold,123,0.09157142010885622,,,,,,,0.07637175340810338,2232,1.0
samsung,20,single,dev_09,dev_fold,117,0.04842852484314417,,,,,,,0.05163992494440342,2355,0.0
samsung,20,pooled,dev_all,dev_common,1086,0.053779727654512686,,,0.053577080103866845,15,16823.333333333332,0.3888655643104299,,,
samsung,20,pooled,dev_01,dev_fold,123,0.036381167358399004,,,,,,,0.02447191874624306,12482,1.0
samsung,20,pooled,dev_02,dev_fold,125,0.049706504265490004,,,,,,,0.04870529639719579,13589,0.6032807436959244
samsung,20,pooled,dev_03,dev_fold,108,0.060756162683171494,,,,,,,0.05406719721235057,14714,1.0
samsung,20,pooled,dev_04,dev_fold,125,0.06053950891909376,,,,,,,0.05395252122901702,15674,0.0
samsung,20,pooled,dev_05,dev_fold,123,0.044173602768356364,,,,,,,0.04739214075339362,16799,0.0
samsung,20,pooled,dev_06,dev_fold,121,0.040559480734146135,,,,,,,0.03981675038987348,17906,0.0
samsung,20,pooled,dev_07,dev_fold,121,0.05765798437353116,,,,,,,0.05578619313485164,18987,0.0
samsung,20,pooled,dev_08,dev_fold,123,0.08938928623306396,,,,,,,0.07637175340810338,20076,0.8965093350979451
samsung,20,pooled,dev_09,dev_fold,117,0.04508491286032964,,,,,,,0.05163992494440342,21183,0.0
