target,horizon,comparison,metric,delta,common_n,calibrated,ci_lo,ci_hi,block
sk_hynix,5,pooled - single,mae_return_raw,0.00037311984881174305,1081,False,-5.0502503378355565e-05,0.0008435290120115211,month
sk_hynix,5,pooled - single,mae_return_raw,0.00037311984881174305,1081,False,-4.928818087750546e-05,0.0008038382525968657,contiguous_20
sk_hynix,5,pooled - single,mae_return_calibrated,0.0002825625464820844,1081,True,-1.1207438003591278e-05,0.0005899998403136995,month
sk_hynix,5,pooled - single,mae_return_calibrated,0.0002825625464820844,1081,True,-3.8418480857744794e-05,0.0005705384487816264,contiguous_20
sk_hynix,5,pooled - current,mae_return_raw,0.0005397206212355586,1081,False,-8.326967252967097e-05,0.001198888017078246,month
sk_hynix,5,pooled - current,mae_return_raw,0.0005397206212355586,1081,False,-4.3184110316298304e-05,0.001131175837930959,contiguous_20
sk_hynix,5,pooled - current,mae_return_calibrated,0.0004933483519307315,1081,True,0.00011894048491228656,0.0009270085801336448,month
sk_hynix,5,pooled - current,mae_return_calibrated,0.0004933483519307315,1081,True,0.00010864727426058454,0.0009140458504120963,contiguous_20
sk_hynix,5,single - current,mae_return_raw,0.00016660077242381546,1081,False,-0.00031483717999508307,0.0006373509183338447,month
sk_hynix,5,single - current,mae_return_raw,0.00016660077242381546,1081,False,-0.00033282021153073114,0.0006351269917757596,contiguous_20
sk_hynix,5,single - current,mae_return_calibrated,0.0002107858054486471,1081,True,-0.00013167764273390282,0.0005766529148414627,month
sk_hynix,5,single - current,mae_return_calibrated,0.0002107858054486471,1081,True,-0.00012809667582425134,0.000558397972654427,contiguous_20
sk_hynix,5,current - hold_current,mae_return_calibrated,-0.0003223462683052592,1081,True,-0.0008877561093511033,0.00024399415623851131,month
sk_hynix,5,current - hold_current,mae_return_calibrated,-0.0003223462683052592,1081,True,-0.0008700432964115367,0.0002341106132572839,contiguous_20
sk_hynix,5,single - hold_current,mae_return_calibrated,-0.00011156046285661211,1081,True,-0.0006087433408594491,0.00041549998940358613,month
sk_hynix,5,single - hold_current,mae_return_calibrated,-0.00011156046285661211,1081,True,-0.0006271755905665648,0.00043314634928137355,contiguous_20
sk_hynix,5,pooled - hold_current,mae_return_calibrated,0.00017100208362547223,1081,True,-0.0003510533089233263,0.0007330962304925926,month
sk_hynix,5,pooled - hold_current,mae_return_calibrated,0.00017100208362547223,1081,True,-0.00033704700732709985,0.0007044703913018918,contiguous_20
sk_hynix,20,pooled - single,mae_return_raw,0.0007574770721635116,1081,False,-0.000838322800702418,0.0023672149636487427,month
sk_hynix,20,pooled - single,mae_return_raw,0.0007574770721635116,1081,False,-0.0007832571257426746,0.002182820512854658,contiguous_40
sk_hynix,20,pooled - single,mae_return_calibrated,0.0008856506974907656,1081,True,-0.00036253257106409515,0.002119664833511628,month
sk_hynix,20,pooled - single,mae_return_calibrated,0.0008856506974907656,1081,True,-0.000449429873257233,0.0020976713108529304,contiguous_40
sk_hynix,20,pooled - current,mae_return_raw,-0.0011793112042885023,1081,False,-0.004822214936708279,0.0019040886829807054,month
sk_hynix,20,pooled - current,mae_return_raw,-0.0011793112042885023,1081,False,-0.005604920152019705,0.0022271671929046813,contiguous_40
sk_hynix,20,pooled - current,mae_return_calibrated,0.0016467414023463266,1081,True,-0.0001268709321787955,0.003613073524760672,month
sk_hynix,20,pooled - current,mae_return_calibrated,0.0016467414023463266,1081,True,-0.00010079433590001082,0.003597810961218737,contiguous_40
sk_hynix,20,single - current,mae_return_raw,-0.0019367882764520141,1081,False,-0.005667337879214429,0.0008940713979928097,month
sk_hynix,20,single - current,mae_return_raw,-0.0019367882764520141,1081,False,-0.006401176867120077,0.001382929439867165,contiguous_40
sk_hynix,20,single - current,mae_return_calibrated,0.000761090704855561,1081,True,-0.0012073849346903203,0.0027502219404365383,month
sk_hynix,20,single - current,mae_return_calibrated,0.000761090704855561,1081,True,-0.0015617129676497037,0.0031243745968664474,contiguous_40
sk_hynix,20,current - hold_current,mae_return_calibrated,0.00010411522846006036,1081,True,-0.00236456483409265,0.0027154534315684637,month
sk_hynix,20,current - hold_current,mae_return_calibrated,0.00010411522846006036,1081,True,-0.0026008589114341076,0.0030384514157213672,contiguous_40
sk_hynix,20,single - hold_current,mae_return_calibrated,0.000865205933315621,1081,True,-0.002381235935009238,0.004259445824135564,month
sk_hynix,20,single - hold_current,mae_return_calibrated,0.000865205933315621,1081,True,-0.0025906280509775817,0.004942820883540244,contiguous_40
sk_hynix,20,pooled - hold_current,mae_return_calibrated,0.001750856630806387,1081,True,-0.0012139119020133336,0.004923395785072014,month
sk_hynix,20,pooled - hold_current,mae_return_calibrated,0.001750856630806387,1081,True,-0.001055504540185605,0.005157763418467638,contiguous_40
