target,model,leg,target_mode,fold,n,accuracy,balanced_accuracy,log_loss,brier,auc_gap,auc_session,session_bp_gross,session_bp_net
samsung,leg close_to_close,close_to_close,close_to_close,all,1362.0,0.45594713656387664,0.43400532631244354,1.0282749600366332,0.6182223116278368,,,,
samsung,leg gap,gap,gap,all,1362.0,0.5844346549192364,0.5596596588325468,0.8876649094964677,0.5257509121240952,,,,
samsung,leg session,session,session,all,1362.0,0.3920704845814978,0.35497289545044897,1.0856861449940385,0.6584955730665014,,,9.879465461728596,-10.120534538271404
sk_hynix,leg close_to_close,close_to_close,close_to_close,all,1357.0,0.5003684598378777,0.46566916438016753,1.0135564905016172,0.6080277908417074,,,,
sk_hynix,leg gap,gap,gap,all,1357.0,0.6028002947678703,0.5750612486271859,0.8398202751832503,0.4966833739000421,,,,
sk_hynix,leg session,session,session,all,1357.0,0.4163596168017686,0.3675192811780141,1.0729932908164488,0.64888390382989,,,18.05737428112012,-1.9426257188798814
