target,model,target_mode,fold,n,accuracy,balanced_accuracy,log_loss,brier,auc_gap,auc_session,seconds
samsung,panel pooled,close_to_close,all,1380.0,0.35579710144927534,0.3417774614294838,1.0966666597055403,0.6654321916576622,,,2.5
samsung,panel prior,close_to_close,all,1380.0,0.28043478260869564,0.3333333333333333,1.0963659702616713,0.6654622752322361,,,0.0
samsung,panel single,close_to_close,all,1380.0,0.358695652173913,0.3582534668160431,1.118860410426948,0.679743171526097,,,1.0
sk_hynix,panel pooled,close_to_close,all,1377.0,0.3478576615831518,0.3480183302409334,1.1000897696781582,0.6679570647830386,,,2.3
sk_hynix,panel prior,close_to_close,all,1377.0,0.2737835875090777,0.3333333333333333,1.0923885227271042,0.6627658486611805,,,0.0
sk_hynix,panel single,close_to_close,all,1377.0,0.35003631082062453,0.3497510771746776,1.119536164840607,0.6800845827828993,,,1.1
