target,model,target_mode,fold,n,accuracy,balanced_accuracy,log_loss,brier,auc_gap,auc_session
samsung,cand expanding,close_to_close,all,1362.0,0.45961820851688695,0.4398241187640111,1.026428495044717,0.6171062064544941,,
samsung,cand half_life_504,close_to_close,all,1362.0,0.45594713656387664,0.43503960403631464,1.0284500561948995,0.618219349948467,,
samsung,cand headline_5y,close_to_close,all,1362.0,0.45594713656387664,0.43400532631244354,1.0282749600366332,0.6182223116278368,,
samsung,ens expanding|half_life_504,close_to_close,all,1362.0,0.45374449339207046,0.43439623740162014,1.0279810688793523,0.6179586974376379,,
samsung,ens headline_5y|expanding,close_to_close,all,1362.0,0.4544787077826725,0.4339391336998992,1.025919090339818,0.6164653073337901,,
samsung,ens headline_5y|half_life_504,close_to_close,all,1362.0,0.4456681350954479,0.42462645176460967,1.0310271182990798,0.6200754767694816,,
samsung,ens mean,close_to_close,all,1362.0,0.45301027900146845,0.43149956270470624,1.0248933667358444,0.6159645161004879,,
sk_hynix,cand expanding,close_to_close,all,1357.0,0.501105379513633,0.4726423333559519,1.0037235113564968,0.6017166288771791,,
sk_hynix,cand half_life_504,close_to_close,all,1357.0,0.4885777450257922,0.456883622248838,1.017746927598648,0.6107683076941743,,
sk_hynix,cand headline_5y,close_to_close,all,1357.0,0.5003684598378777,0.46566916438016753,1.0135564905016172,0.6080277908417074,,
sk_hynix,ens expanding|half_life_504,close_to_close,all,1357.0,0.5033161385408991,0.47417865288218364,1.0053536349381205,0.6028069006554767,,
sk_hynix,ens headline_5y|expanding,close_to_close,all,1357.0,0.49963154016212236,0.4705740468863951,1.0053826844573028,0.6030699334336822,,
sk_hynix,ens headline_5y|half_life_504,close_to_close,all,1357.0,0.49594694178334564,0.4629415997620743,1.0134623108951506,0.607881537954938,,
sk_hynix,ens mean,close_to_close,all,1357.0,0.5040530582166544,0.47165783627580754,1.0089135075417557,0.6049851259422308,,
