target,model,target_mode,fold,n,accuracy,balanced_accuracy,log_loss,brier,auc_gap,auc_session
samsung,calib after,close_to_close,all,1362.0,0.45594713656387664,0.43400532631244354,1.0282749600366332,0.6182223116278368,,
samsung,calib before,close_to_close,all,1362.0,0.4544787077826725,0.4328351489685221,1.0281785131396983,0.6179991861051731,,
sk_hynix,calib after,close_to_close,all,1357.0,0.5003684598378777,0.46566916438016753,1.0135564905016172,0.6080277908417074,,
sk_hynix,calib before,close_to_close,all,1357.0,0.5040530582166544,0.469347503533941,1.012034592000612,0.606894821005463,,
