target,horizon,comparison,metric,delta,common_n,calibrated,ci_lo,ci_hi,block
sk_hynix,5,a100_5y - a10000_expanding,mae_return_raw,0.008383253842649091,1081,False,0.00298668048773629,0.015766679550130766,month
sk_hynix,5,a100_5y - a10000_expanding,mae_return_raw,0.008383253842649091,1081,False,0.002739419969534319,0.01737424845825817,contiguous_20
sk_hynix,5,a100_5y - a10000_expanding,mae_return_calibrated,0.00012334749236079119,1081,True,-0.000320590650062399,0.0005812085816924861,month
sk_hynix,5,a100_5y - a10000_expanding,mae_return_calibrated,0.00012334749236079119,1081,True,-0.0003398301091908912,0.0005841533332175224,contiguous_20
sk_hynix,5,a100_5y - a10000_expanding,mae_return_issued,9.551354255236534e-05,1081,True,-0.00033811269443889403,0.0005304724370840476,month
sk_hynix,5,a100_5y - a10000_expanding,mae_return_issued,9.551354255236534e-05,1081,True,-0.00034168264859978916,0.0005395817090353139,contiguous_20
sk_hynix,5,a100_5y - hold_current,mae_return_calibrated,-0.00017979235152450969,1081,True,-0.0003984418817494813,1.1157794631756627e-05,month
sk_hynix,5,a100_5y - hold_current,mae_return_calibrated,-0.00017979235152450969,1081,True,-0.0004124973397586125,3.169552630222559e-05,contiguous_20
sk_hynix,5,a100_5y - hold_current,mae_return_issued,-0.00017979235152450969,1081,True,-0.0003984418817494813,1.1157794631756627e-05,month
sk_hynix,5,a100_5y - hold_current,mae_return_issued,-0.00017979235152450969,1081,True,-0.0004124973397586125,3.169552630222559e-05,contiguous_20
sk_hynix,5,a100_expanding - a10000_expanding,mae_return_raw,0.008947604701407832,1081,False,0.0025119077519942016,0.018079353478483502,month
sk_hynix,5,a100_expanding - a10000_expanding,mae_return_raw,0.008947604701407832,1081,False,0.0023539953923928185,0.01978993133387013,contiguous_20
sk_hynix,5,a100_expanding - a10000_expanding,mae_return_calibrated,0.00019661547943196583,1081,True,-0.00026502955013499275,0.0006609087020183644,month
sk_hynix,5,a100_expanding - a10000_expanding,mae_return_calibrated,0.00019661547943196583,1081,True,-0.0002561196025943812,0.00065589015185334,contiguous_20
sk_hynix,5,a100_expanding - a10000_expanding,mae_return_issued,0.00016878152962353997,1081,True,-0.0002688623407367884,0.0006147197129524135,month
sk_hynix,5,a100_expanding - a10000_expanding,mae_return_issued,0.00016878152962353997,1081,True,-0.00024505493889161466,0.000602250917166075,contiguous_20
sk_hynix,5,a100_expanding - hold_current,mae_return_calibrated,-0.00010652436445333505,1081,True,-0.00030999615424718533,6.047212358450497e-05,month
sk_hynix,5,a100_expanding - hold_current,mae_return_calibrated,-0.00010652436445333505,1081,True,-0.00030794613675312295,0.00010126518826641884,contiguous_20
sk_hynix,5,a100_expanding - hold_current,mae_return_issued,-0.00010652436445333505,1081,True,-0.00030999615424718533,6.047212358450497e-05,month
sk_hynix,5,a100_expanding - hold_current,mae_return_issued,-0.00010652436445333505,1081,True,-0.00030794613675312295,0.00010126518826641884,contiguous_20
sk_hynix,5,a1000_5y - a10000_expanding,mae_return_raw,0.0016791223759742156,1081,False,-7.635639477154726e-05,0.0039043437751734786,month
sk_hynix,5,a1000_5y - a10000_expanding,mae_return_raw,0.0016791223759742156,1081,False,-0.00012078295990217422,0.004396896483127293,contiguous_20
sk_hynix,5,a1000_5y - a10000_expanding,mae_return_calibrated,0.00017080049994998048,1081,True,-0.00028465008051224434,0.000695690129235912,month
sk_hynix,5,a1000_5y - a10000_expanding,mae_return_calibrated,0.00017080049994998048,1081,True,-0.00030496528166519776,0.0006985356570835567,contiguous_20
sk_hynix,5,a1000_5y - a10000_expanding,mae_return_issued,0.0001429665501415546,1081,True,-0.00029502903762111514,0.0006552222208820787,month
sk_hynix,5,a1000_5y - a10000_expanding,mae_return_issued,0.0001429665501415546,1081,True,-0.0003237962469867488,0.0006670964235761555,contiguous_20
sk_hynix,5,a1000_5y - hold_current,mae_return_calibrated,-0.00013233934393532042,1081,True,-0.0005738169463900049,0.0003237849073397448,month
sk_hynix,5,a1000_5y - hold_current,mae_return_calibrated,-0.00013233934393532042,1081,True,-0.0005771722225035844,0.0003766711247465695,contiguous_20
sk_hynix,5,a1000_5y - hold_current,mae_return_issued,-0.00013233934393532042,1081,True,-0.0005738169463900049,0.0003237849073397448,month
sk_hynix,5,a1000_5y - hold_current,mae_return_issued,-0.00013233934393532042,1081,True,-0.0005771722225035844,0.0003766711247465695,contiguous_20
sk_hynix,5,a1000_expanding - a10000_expanding,mae_return_raw,0.0023081864708851063,1081,False,1.4338965599562226e-05,0.005654128879888849,month
sk_hynix,5,a1000_expanding - a10000_expanding,mae_return_raw,0.0023081864708851063,1081,False,-5.698555093520595e-05,0.006276005135761727,contiguous_20
sk_hynix,5,a1000_expanding - a10000_expanding,mae_return_calibrated,7.32177785282802e-05,1081,True,-0.00031065583919273506,0.00047189570909728985,month
sk_hynix,5,a1000_expanding - a10000_expanding,mae_return_calibrated,7.32177785282802e-05,1081,True,-0.00029624318917814734,0.000509860181333022,contiguous_20
sk_hynix,5,a1000_expanding - a10000_expanding,mae_return_issued,4.538382871985436e-05,1081,True,-0.0003305303200256889,0.0004434203557905178,month
sk_hynix,5,a1000_expanding - a10000_expanding,mae_return_issued,4.538382871985436e-05,1081,True,-0.0003025770440937695,0.00046850624829359726,contiguous_20
sk_hynix,5,a1000_expanding - hold_current,mae_return_calibrated,-0.00022992206535702063,1081,True,-0.0006081106635202568,0.00011293230315499626,month
sk_hynix,5,a1000_expanding - hold_current,mae_return_calibrated,-0.00022992206535702063,1081,True,-0.0005806618093391374,0.00014177221125695464,contiguous_20
sk_hynix,5,a1000_expanding - hold_current,mae_return_issued,-0.00022992206535702063,1081,True,-0.0006081106635202568,0.00011293230315499626,month
sk_hynix,5,a1000_expanding - hold_current,mae_return_issued,-0.00022992206535702063,1081,True,-0.0005806618093391374,0.00014177221125695464,contiguous_20
sk_hynix,5,a10000_5y - a10000_expanding,mae_return_raw,-6.79294336739673e-05,1081,False,-0.0003197170054531719,0.00016720228735277206,month
sk_hynix,5,a10000_5y - a10000_expanding,mae_return_raw,-6.79294336739673e-05,1081,False,-0.00037407168972383584,0.00015259347476237483,contiguous_20
sk_hynix,5,a10000_5y - a10000_expanding,mae_return_calibrated,-1.5658891971260496e-05,1081,True,-0.0002295671336240544,0.0002047076020652096,month
sk_hynix,5,a10000_5y - a10000_expanding,mae_return_calibrated,-1.5658891971260496e-05,1081,True,-0.00021249326563710163,0.00014852953543310928,contiguous_20
sk_hynix,5,a10000_5y - a10000_expanding,mae_return_issued,7.289811753937123e-05,1081,True,-0.00016467060796064735,0.00029898060273354733,month
sk_hynix,5,a10000_5y - a10000_expanding,mae_return_issued,7.289811753937123e-05,1081,True,-0.00012534902430277333,0.0002500375226569098,contiguous_20
sk_hynix,5,a10000_5y - hold_current,mae_return_calibrated,-0.00031879873585656136,1081,True,-0.0009815769707540993,0.00032616319028115306,month
sk_hynix,5,a10000_5y - hold_current,mae_return_calibrated,-0.00031879873585656136,1081,True,-0.0009496316127755088,0.00024995148107984967,contiguous_20
sk_hynix,5,a10000_5y - hold_current,mae_return_issued,-0.0002024077765375038,1081,True,-0.0008470547485061606,0.0004024849489313913,month
sk_hynix,5,a10000_5y - hold_current,mae_return_issued,-0.0002024077765375038,1081,True,-0.0007953790319231562,0.0003747983285204324,contiguous_20
sk_hynix,5,a10000_expanding - hold_current,mae_return_calibrated,-0.0003031398438853008,1081,True,-0.0008599399458178913,0.000247628511659993,month
sk_hynix,5,a10000_expanding - hold_current,mae_return_calibrated,-0.0003031398438853008,1081,True,-0.0008329596556426229,0.00022853343650156374,contiguous_20
sk_hynix,5,a10000_expanding - hold_current,mae_return_issued,-0.00027530589407687503,1081,True,-0.0008194334613597761,0.00024986873863089976,month
sk_hynix,5,a10000_expanding - hold_current,mae_return_issued,-0.00027530589407687503,1081,True,-0.0007924660997296804,0.0002478700992129366,contiguous_20
sk_hynix,5,inner_selected - a10000_expanding,mae_return_raw,-5.518514964541494e-05,1081,False,-0.00028548584985262597,0.0001464195564125097,month
sk_hynix,5,inner_selected - a10000_expanding,mae_return_raw,-5.518514964541494e-05,1081,False,-0.00034619693690616344,0.00014688036691543136,contiguous_20
sk_hynix,5,inner_selected - a10000_expanding,mae_return_calibrated,-3.550526406612834e-05,1081,True,-0.00021676772883989993,0.00016380242327361326,month
sk_hynix,5,inner_selected - a10000_expanding,mae_return_calibrated,-3.550526406612834e-05,1081,True,-0.00019930161786435076,0.00012835202256935357,contiguous_20
sk_hynix,5,inner_selected - a10000_expanding,mae_return_issued,5.305174544450338e-05,1081,True,-0.0001515793304571549,0.0002534657854901458,month
sk_hynix,5,inner_selected - a10000_expanding,mae_return_issued,5.305174544450338e-05,1081,True,-0.00011149249433794874,0.0002228807496435889,contiguous_20
sk_hynix,5,inner_selected - hold_current,mae_return_calibrated,-0.0003386451079514291,1081,True,-0.001004987046531179,0.0003077378838674388,month
sk_hynix,5,inner_selected - hold_current,mae_return_calibrated,-0.0003386451079514291,1081,True,-0.0009660028295927701,0.0002604013199535309,contiguous_20
sk_hynix,5,inner_selected - hold_current,mae_return_issued,-0.00022225414863237156,1081,True,-0.0008660275298668555,0.0004008696417921051,month
sk_hynix,5,inner_selected - hold_current,mae_return_issued,-0.00022225414863237156,1081,True,-0.0008193308616421615,0.0003589773542606524,contiguous_20
sk_hynix,20,a100_5y - a10000_expanding,mae_return_raw,0.041396837470233,1081,False,0.012681399578433495,0.0811389038651716,month
