target,horizon,candidate,fold,evaluation_stage,n,mae,rmse,mae_calibrated,mae_issued,issuance_rate,mean_abs_raw,mean_train_rows,mean_slope,seconds_per_fold,zero_mae,train_rows,slope,issued,setting
sk_hynix,5,a10000_5y,dev_02,dev_fold,125,0.034443892241202444,,,,,,,,,0.03455672064383621,1046,0.6357481794430513,False,a10000_5y
sk_hynix,5,a10000_5y,dev_03,dev_fold,103,0.036469121922096774,,,,,,,,,0.03513953117989742,1171,0.8117617913504755,True,a10000_5y
sk_hynix,5,a10000_5y,dev_04,dev_fold,125,0.04083509070885089,,,,,,,,,0.04072752047081133,1186,0.0,False,a10000_5y
sk_hynix,5,a10000_5y,dev_05,dev_fold,123,0.04190096596144719,,,,,,,,,0.04106075934931817,1209,0.0,False,a10000_5y
sk_hynix,5,a10000_5y,dev_06,dev_fold,121,0.034849117733485487,,,,,,,,,0.03497051420075539,1211,0.12190790982708524,False,a10000_5y
sk_hynix,5,a10000_5y,dev_07,dev_fold,121,0.04323906096984038,,,,,,,,,0.04455269754891238,1209,0.589085122550395,False,a10000_5y
sk_hynix,5,a10000_5y,dev_08,dev_fold,123,0.06214835153855573,,,,,,,,,0.06334412995074624,1209,1.0,True,a10000_5y
sk_hynix,5,a10000_5y,dev_09,dev_fold,117,0.058525042335015556,,,,,,,,,0.060828433791064576,1207,1.0,True,a10000_5y
sk_hynix,5,a10000_expanding,dev_all,dev_common,1081,0.04334088794531299,0.05563120168296198,0.04321364788756111,0.04324148183736953,0.5555555555555556,0.006111244333572579,1403.2222222222222,0.523921944033312,0.011345411110798724,,,,,
sk_hynix,5,a10000_expanding,dev_01,dev_fold,123,0.036729350370321476,,,,,,,,,0.03602202380212123,923,1.0,True,a10000_expanding
sk_hynix,5,a10000_expanding,dev_02,dev_fold,125,0.034443892241202444,,,,,,,,,0.03455672064383621,1046,0.6357481794430513,False,a10000_expanding
sk_hynix,5,a10000_expanding,dev_03,dev_fold,103,0.036469121922096774,,,,,,,,,0.03513953117989742,1171,0.8117617913504755,True,a10000_expanding
sk_hynix,5,a10000_expanding,dev_04,dev_fold,125,0.04111693470300623,,,,,,,,,0.04072752047081133,1274,0.0,False,a10000_expanding
sk_hynix,5,a10000_expanding,dev_05,dev_fold,123,0.04271522868086716,,,,,,,,,0.04106075934931817,1399,0.0,False,a10000_expanding
sk_hynix,5,a10000_expanding,dev_06,dev_fold,121,0.034736580953731354,,,,,,,,,0.03497051420075539,1522,0.19633205588661373,False,a10000_expanding
sk_hynix,5,a10000_expanding,dev_07,dev_fold,121,0.04342201405198737,,,,,,,,,0.04455269754891238,1643,0.39469765453668293,True,a10000_expanding
sk_hynix,5,a10000_expanding,dev_08,dev_fold,123,0.06174981869049477,,,,,,,,,0.06334412995074624,1764,0.6767578150829852,True,a10000_expanding
sk_hynix,5,a10000_expanding,dev_09,dev_fold,117,0.05834167542702794,,,,,,,,,0.060828433791064576,1887,1.0,True,a10000_expanding
