target,model,target_mode,fold,n,accuracy,balanced_accuracy,log_loss,brier,n_features,seconds
samsung,Always flat,close_to_close,all,1367.0,0.282370153621068,0.3333333333333333,1.096575580785598,0.6655701964865692,,
samsung,asof cumulative,close_to_close,all,1367.0,0.4659839063643013,0.4453126498733812,1.026744283082377,0.6172388592916612,63.0,30.3
samsung,current (market only),close_to_close,all,1367.0,0.4542794440380395,0.4328515702853388,1.0284851743943304,0.6183444282103328,61.0,31.3
samsung,notebook OOF (No macro ensemble),close_to_close,all,1367.0,0.4542794440380395,0.4328515702853388,1.0284851743943304,0.6183444282103328,,
sk_hynix,Always flat,close_to_close,all,1362.0,0.2738619676945668,0.3333333333333333,1.092427261176376,0.6627924630382617,,
sk_hynix,asof cumulative,close_to_close,all,1362.0,0.5007342143906021,0.4665157730200275,1.0067160679932172,0.6028221347037607,60.0,29.6
sk_hynix,current (market only),close_to_close,all,1362.0,0.4992657856093979,0.4651668803667871,1.0145946175761893,0.6086088752504372,58.0,29.0
sk_hynix,notebook OOF (No macro ensemble),close_to_close,all,1362.0,0.4992657856093979,0.4651668803667871,1.0145946175761893,0.6086088752504372,,
