target,comparison,mae_diff,ci_low,ci_high,n,bootstrap_b,block
samsung,ohlcv_ridge_vs_persistence,0.0038131243984482,0.0008414090174529,0.0075586180080728,825,2000,month
samsung,tcn_mean_vs_persistence,0.002703088878686366,0.00021835527910440844,0.006817951061572346,825,2000,month
samsung,tcn_mean_vs_ohlcv_ridge,-0.0011100355197619267,-0.0052869825145701035,0.0027656932931244466,825,2000,month
