target,horizon,candidate,fold,evaluation_stage,n,mae,rmse,mae_krw,log_loss,brier,balanced_accuracy,metric_note,interval_score,interval_coverage,mean_width,issuance_rate,oof_slope,band_q,note,zero_mae,train_rows,train_start,train_end,test_start,test_end
samsung,5,hold_current,all,evaluation,428,0.05624374580683459,0.0752000267829969,15157.689494941922,,,,방향 확률 모델 없음(M04에서),,,,,,,,,,,,,
samsung,5,current_ridge_raw,all,evaluation,428,0.05691651567697501,0.0763494399363987,15339.000974944765,,,,방향 확률 모델 없음(M04에서),,,,,,,,,,,,,
samsung,5,current_ridge_calibrated,all,evaluation,428,0.05624374580683459,0.0752000267829969,15157.689494941922,,,,방향 확률 모델 없음(M04에서),0.2802358521631705,0.8177570093457944,0.20941480092214573,0.0,0.0,1.4114809666732147,,,,,,,
samsung,5,current_ridge_issued,all,evaluation,428,0.05624374580683459,0.0752000267829969,15157.689494941922,,,,방향 확률 모델 없음(M04에서),,,,0.0,,,발행 중심값. 신호 없음이면 현재가(0% 수익률),,,,,,
samsung,5,current_ridge_raw,0,oof_fold,570,0.029195548072958624,0.0403271763864525,,,,,,,,,,,,,0.02938469240315381,567,2017-02-21,2019-07-19,2019-07-26,2021-11-18
samsung,5,current_ridge_raw,1,oof_fold,570,0.023550804096820685,0.029749144716833435,,,,,,,,,,,,,0.023309400492810484,1137,2017-02-21,2021-11-12,2021-11-19,2024-04-02
samsung,5,current_ridge_raw,2,oof_fold,570,0.051762237274916446,0.06981568277917746,,,,,,,,,,,,,0.05121169000916655,1707,2017-02-21,2024-03-27,2024-04-03,2026-09-03
samsung,20,hold_current,all,evaluation,422,0.12985539258655768,0.1745865187406523,34996.02830207729,,,,방향 확률 모델 없음(M04에서),,,,,,,,,,,,,
samsung,20,current_ridge_raw,all,evaluation,422,0.13453616207933933,0.18126762421495615,36257.49568038195,,,,방향 확률 모델 없음(M04에서),,,,,,,,,,,,,
samsung,20,current_ridge_calibrated,all,evaluation,422,0.12985539258655768,0.1745865187406523,34996.02830207729,,,,방향 확률 모델 없음(M04에서),0.6801469950988009,0.7962085308056872,0.43507530429650854,0.0,0.0,1.5485809108067432,,,,,,,
samsung,20,current_ridge_issued,all,evaluation,422,0.12985539258655768,0.1745865187406523,34996.02830207729,,,,방향 확률 모델 없음(M04에서),,,,0.0,,,발행 중심값. 신호 없음이면 현재가(0% 수익률),,,,,,
samsung,20,current_ridge_raw,0,oof_fold,562,0.060894258731967514,0.08255568568485533,,,,,,,,,,,,,0.060724622562709524,546,2017-03-15,2019-07-11,2019-08-08,2021-11-19
samsung,20,current_ridge_raw,1,oof_fold,562,0.05098453521626867,0.06406794344851004,,,,,,,,,,,,,0.04927643402946081,1108,2017-03-15,2021-10-25,2021-11-22,2024-03-22
samsung,20,current_ridge_raw,2,oof_fold,562,0.12297113412087946,0.16595258837123794,,,,,,,,,,,,,0.11730060100257238,1670,2017-03-15,2024-02-23,2024-03-25,2026-08-12
