target,cell,horizon,candidate,fold,evaluation_stage,n,interval_coverage,coverage_ci_lo,coverage_ci_hi,mean_halfwidth,interval_score,mean_q,start,end,score_delta,score_delta_ci_lo,score_delta_ci_hi,verdict
samsung,open,1,current,selection,selection,572,0.8461538461538461,0.8110347211553234,0.879412300720771,0.01091652026761738,0.03064528261767854,1.1987810956346172,2021-11-18,2024-04-03,,,,
samsung,open,1,trailing_q_w250,selection,selection,572,0.7972027972027972,0.755575210896496,0.840410572567954,0.009697950704613304,0.030209377190806064,1.0616781675279072,2021-11-18,2024-04-03,-0.00043590542687247844,-0.000942786326397513,6.71849278560695e-05,동률
samsung,open,1,conformal_w250,selection,selection,572,0.8006993006993007,0.7605099752154135,0.8413928920864239,0.009780698593643177,0.030210601198496917,1.0710962262969022,2021-11-18,2024-04-03,-0.00043468141918162075,-0.0009119810743913587,3.372371285404155e-05,동률
samsung,open,1,trailing_q_w500,selection,selection,572,0.8094405594405595,0.7667830145879526,0.8506717235272184,0.009978159466403343,0.03027546615474234,1.0924410325417577,2021-11-18,2024-04-03,-0.00036981646293619635,-0.0007592381087881947,1.6846043743614394e-05,동률
samsung,open,1,conformal_w500,selection,selection,572,0.8111888111888111,0.7703423312002049,0.8516681034482759,0.010031057076400425,0.03030677327311009,1.09819663541752,2021-11-18,2024-04-03,-0.0003385093445684507,-0.0007162314394554953,3.656442832888153e-05,동률
samsung,open,1,aci_g0.005_w250,selection,selection,572,0.7902097902097902,0.7482388078470824,0.832198273779324,0.009643501126275668,0.030161000410601276,1.0593061310225422,2021-11-18,2024-04-03,-0.0004842822070772591,-0.0010937435233542147,3.206914770708831e-05,동률
samsung,open,1,aci_g0.005_w500,selection,selection,572,0.7954545454545454,0.7555888507782414,0.8356998298214307,0.00971360821988574,0.03023946448666681,1.0628060094871148,2021-11-18,2024-04-03,-0.000405818131011727,-0.0009044298104237121,7.469923439540884e-05,동률
samsung,open,1,aci_g0.02_w250,selection,selection,572,0.7972027972027972,0.7575197143608167,0.836563462089768,0.009708648401447499,0.030248881084443027,1.069810298756339,2021-11-18,2024-04-03,-0.00039640153323551103,-0.0011801417027323931,0.0003186524642515762,동률
samsung,open,1,aci_g0.02_w500,selection,selection,572,0.7972027972027972,0.7564723298645883,0.8395920619042014,0.009827262661496979,0.030281785041275558,1.0794737810856485,2021-11-18,2024-04-03,-0.00036349757640297473,-0.0010777123311744834,0.00024008004984747737,동률
samsung,open,1,current,evaluation,evaluation,573,0.8656195462478184,0.8388789411826312,0.890324790101635,0.02530921109376796,0.06486746796835956,1.198781095634617,2024-04-04,2026-09-09,,,,
samsung,open,1,trailing_q_w250,evaluation,evaluation,573,0.8184991273996509,0.78839590443686,0.85,0.02229669604279634,0.06288355015855464,1.0536872058023083,2024-04-04,2026-09-09,-0.001983917809804922,-0.0036849471872172006,-0.0007374667488154464,채택 조건 충족
