target,model,half_life,target_mode,fold,n,accuracy,balanced_accuracy,log_loss,brier,auc_gap,auc_session,seconds
samsung,half_life 126,126,close_to_close,all,1362.0,0.44493392070484583,0.42958125490272625,1.0463957828127823,0.6318374952081866,,,30.1
samsung,half_life 252,252,close_to_close,all,1362.0,0.45741556534508077,0.4374652336300063,1.0353032943086975,0.6237792891294456,,,27.7
samsung,half_life 504,504,close_to_close,all,1362.0,0.45594713656387664,0.43503960403631464,1.0284500561948995,0.618219349948467,,,28.3
samsung,half_life none,none,close_to_close,all,1362.0,0.45594713656387664,0.43400532631244354,1.0282749600366332,0.6182223116278368,,,27.9
sk_hynix,half_life 126,126,close_to_close,all,1357.0,0.4812085482682388,0.45574910663645946,1.03432951290307,0.6214081044561934,,,27.0
sk_hynix,half_life 252,252,close_to_close,all,1357.0,0.4863669859985262,0.4568844101069021,1.024157081067275,0.6151118327769345,,,29.4
sk_hynix,half_life 504,504,close_to_close,all,1357.0,0.4885777450257922,0.456883622248838,1.017746927598648,0.6107683076941743,,,30.3
sk_hynix,half_life none,none,close_to_close,all,1357.0,0.5003684598378777,0.46566916438016753,1.0135564905016172,0.6080277908417074,,,29.6
