target,target_mode,comparison,metric,delta,ci_low,ci_high,common_n,verdict
samsung,close_to_close,t_evening_f2000 − nq_rule,accuracy,0.0253807106598984,-0.0382702119309261,0.0852144897126537,394,동률(CI가 0 포함)
samsung,close_to_close,t_evening_f2000 − nq_rule,auc_gap,0.0019742190221809,-0.0623568159138246,0.0644276441781722,394,동률(CI가 0 포함)
samsung,close_to_close,t_evening_f2000 − nq_rule,auc_session,0.0114130434782608,-0.0727829061176319,0.0888482417666973,394,동률(CI가 0 포함)
sk_hynix,close_to_close,t_evening_f2000 − t_evening,log_loss,-0.0009616433097749,-0.0049006915926056,0.0032332101588797,394,동률(CI가 0 포함)
sk_hynix,close_to_close,t_evening_f2000 − t_evening,balanced_accuracy,0.0275360418832442,-0.0126317870895656,0.0648698485935225,394,동률(CI가 0 포함)
sk_hynix,close_to_close,t_evening_f2000 − t_evening,accuracy,0.0279187817258882,-0.0126590310351474,0.0685610045982386,394,동률(CI가 0 포함)
sk_hynix,close_to_close,t_evening_f2000 − t_evening,auc_gap,0.0467203230600969,0.0261547976209761,0.069542537065483,394,후보가 유의하게 우위
sk_hynix,close_to_close,t_evening_f2000 − t_evening,auc_session,-0.0045780681088027,-0.0266429873377492,0.016551849122944,394,동률(CI가 0 포함)
sk_hynix,close_to_close,t_evening_f2200 − t_evening,log_loss,-0.0028966968405763,-0.0073357367577591,0.0016569427819589,394,동률(CI가 0 포함)
sk_hynix,close_to_close,t_evening_f2200 − t_evening,balanced_accuracy,0.0525117759694517,0.0145286878015551,0.0911746447000472,394,후보가 유의하게 우위
sk_hynix,close_to_close,t_evening_f2200 − t_evening,accuracy,0.0532994923857867,0.0123389694041867,0.0963581811327077,394,후보가 유의하게 우위
sk_hynix,close_to_close,t_evening_f2200 − t_evening,auc_gap,0.0754087327182478,0.0369354807454506,0.1171318499613133,394,후보가 유의하게 우위
sk_hynix,close_to_close,t_evening_f2200 − t_evening,auc_session,-0.0037213536089097,-0.0340950003731766,0.0271449847316005,394,동률(CI가 0 포함)
sk_hynix,close_to_close,t_evening_f2200 − t_evening_f2000,log_loss,-0.0019350535308013,-0.0046790959617587,0.0005975883134271,394,동률(CI가 0 포함)
sk_hynix,close_to_close,t_evening_f2200 − t_evening_f2000,balanced_accuracy,0.0249757340862075,-0.0014786569052455,0.0503678039081234,394,동률(CI가 0 포함)
sk_hynix,close_to_close,t_evening_f2200 − t_evening_f2000,accuracy,0.0253807106598984,-0.0024460521354109,0.0515970515970515,394,동률(CI가 0 포함)
sk_hynix,close_to_close,t_evening_f2200 − t_evening_f2000,auc_gap,0.0286884096581508,0.0065058818587573,0.0542665236074281,394,후보가 유의하게 우위
sk_hynix,close_to_close,t_evening_f2200 − t_evening_f2000,auc_session,0.0008567144998929,-0.0259821092861239,0.0241648002845919,394,동률(CI가 0 포함)
sk_hynix,close_to_close,t_evening_f2000 − t0700,log_loss,0.1003675427550712,0.0650276852205658,0.1370972060835132,394,후보가 유의하게 열위
