month,usdkrw,dxy,jpy,cny,rate_gap,current_account,kr10y,us10y,real_rate_gap
2000-01-01,,101.71285792759488,105.25999995640346,,,-218.1,,6.647249984741211,
2000-02-01,,104.43333326067244,109.45142909458706,,,-324.1,,6.517600011825562,
2000-03-01,,105.54347826086956,106.3421740324601,,,275.3,,6.246826088946799,
2000-04-01,,106.76473637631064,105.6409999847412,,,-1156.0,,5.978578969051964,
2000-05-01,,110.78590878573333,108.1265222300654,,,1535.5,,6.427227302031084,
2000-06-01,,107.1059088273482,106.11590957641602,,,2274.4,,6.083772680976174,
2000-07-01,,108.27761877150763,107.9885711669922,,,571.5,,6.039599990844726,
2000-08-01,,111.1669570259426,107.99391307001528,,,1168.4,,5.820391302523405,
2000-09-01,,114.35800018310547,106.81666637602306,,,2133.9,,5.78805000782013,
2000-10-01,,116.051363511519,108.36636421897197,,,1210.9,,5.735000025142323,
2000-11-01,,116.47590845281428,108.92136417735706,,,934.6,,5.7023333594912575,
2000-12-01,,112.725,112.206666855585,,1.9993278609381784,1774.5,7.227777777777778,5.228449916839599,2.656318191716218
2001-01-01,,110.12590859153056,116.79782568890116,,1.5230125236989265,-672.9,6.6626315789473685,5.139619055248442,1.8049962735725087
2001-02-01,,111.80549926757811,116.16950035095216,,1.3082632149144224,-532.6,6.397,5.088736785085578,1.2110049076296692
2001-03-01,,113.9318181818182,121.3850000554865,,2.1214134117638404,1509.4,6.998095238095239,4.876681826331399,1.091925840034392
2001-04-01,,115.50799903869628,123.65523747035436,,2.613749967575073,-847.2,7.736,5.122250032424927,0.9985692710867564
2001-05-01,,116.75363714044744,121.6730432925017,,2.203772721724077,1158.8,7.571818181818182,5.368045460094105,0.5034458743108186
2001-06-01,,118.9499998546782,122.36857169015067,8.276800155639648,1.8969999720255544,1363.8,7.151000000000001,5.254000027974446,0.0565953998973363
2001-07-01,,118.44772720336914,124.44772685657848,8.276814460754395,1.628333325158981,-42.0,6.828095238095237,5.199761912936256,-0.4626108785184106
2001-08-01,,114.38999972136124,121.30999954887058,8.276969322791466,1.3262727408729518,-266.4,6.287272727272727,4.960999986399775,-0.642732774797234
2001-09-01,,113.30375051498412,118.69650039672852,8.27685022354126,1.4629666582743326,324.6,6.1975,4.734533341725667,0.8038610663618204
2001-10-01,,114.21000007961108,121.3247829934825,8.276841878890991,2.0017608368915054,223.7,6.5425,4.540739163108494,0.7765665033405336
2001-11-01,,116.00772718949752,122.37500034679066,8.276892934526716,2.276082204760927,-123.2,6.882272727272727,4.6061905225118,0.7960691552858119
2001-12-01,,116.20500106811524,127.77523840041388,8.276871476854597,1.9633000478744504,69.2,7.011,5.04769995212555,0.4030424295526806
2002-01-01,,117.76363684914328,132.76391269849694,8.276647006764131,2.1097445716692764,-713.8,7.101363636363636,4.991619064694359,0.6680367654006547
2002-02-01,,118.96650123596191,133.45600051879882,8.276694749530993,2.089677984042802,279.2,6.992941176470588,4.903263192427786,0.5996918614761908
2002-03-01,,117.93600044250488,131.1152383713495,8.277061038547092,1.908600014686584,734.6,7.1815,5.272899985313416,0.9580610964937726
2002-04-01,,116.88272718949752,130.75954471934926,8.27719988822937,2.1051839670784034,-830.7,7.299047619047619,5.193863651969216,1.2514566126340032
2002-05-01,,113.37217380689538,126.29521643597148,8.27699057261149,1.9510000410946944,623.7,7.091818181818183,5.140818140723488,0.2121006309586421
2002-06-01,,109.6504997253418,123.18599929809572,8.277045059204102,1.8644944360521103,551.2,6.759444444444444,4.894950008392334,0.3451232655025442
2002-07-01,,105.9573918218198,118.0404347958772,8.27678650075739,1.9320909274708145,-62.3,6.54,4.607909072529186,1.291389441055152
2002-08-01,,107.3899997364391,119.00136323408648,8.276718226346103,2.000588739733675,-813.1,6.240952380952381,4.240363641218706,1.3644759804205515
2002-09-01,,107.3029998779297,120.79381016322544,8.27264776683989,2.3070500025749205,1630.5,6.1635,3.85644999742508,0.7678408617222607
2002-10-01,,107.5304353133492,123.8713033924932,8.274668260054154,2.199114617622888,876.4,6.113636363636363,3.914521746013476,1.4595283661148373
2002-11-01,,105.67523847307476,121.50238073439826,8.27716182527088,1.7688738017990475,705.2,5.7995238095238095,4.030650007724762,0.5681976153264541
2002-12-01,,104.23285747709728,121.71590943769976,8.277226297478927,1.7458095680418468,1085.2,5.766,4.020190431958153,0.4933332902910887
2003-01-01,,100.82762037004744,118.78956537661344,8.27683652531017,1.403095255352202,-2192.9,5.427142857142857,4.024047601790655,0.3495484453207105
2003-02-01,,99.85894735235917,119.39199981689453,8.277315892671284,1.2603684149290388,-740.2,5.15,3.8896315850709615,0.520448798958975
2003-03-01,,99.7509522210984,118.68333435058594,8.277229928970337,1.4031428800310404,-143.6,5.198571428571428,3.795428548540388,-0.0953250802021004
2003-04-01,,99.4047619047619,119.7690911726518,8.277145051956177,1.0929827024203873,-1008.2,5.031363636363636,3.938380933943249,-0.4806674469812857
2003-05-01,,94.43571472167967,117.38454471934924,,1.118987476664378,-51.3,4.677368421052631,3.558380944388253,-0.1627795434832615
2003-06-01,,93.5414294288272,118.28523799351284,,1.137428556442261,1097.1,4.461,3.32357144355774,0.095275551266944
2003-07-01,,95.6369569197945,118.63173874564792,,0.998136364329945,622.2,4.95,3.951863635670055,-0.1341030401929717
2003-08-01,,97.22857266380672,118.60238066173736,,0.8250238200596405,971.6,5.2575,4.43247617994036,0.0613191296078241
2003-09-01,,95.81909040971236,114.92318240079013,,0.5112054831760569,3273.5,4.773157894736842,4.261952411560785,-0.4431250442422998
2003-10-01,,92.07608728823456,109.47956549603006,,0.6036600638755223,3555.7,4.868181818181818,4.264521754306296,-1.0683931850016588
2003-11-01,,91.93789472078022,109.14400062561036,,1.0598333390553796,2949.4,5.345000000000001,4.285166660944621,-0.4432005573780015
2003-12-01,1188.4347879161005,88.40454448353161,107.69130441416864,8.267010889555278,1.172727281397039,2975.0,5.431818181818182,4.259090900421143,-0.2121098468743154
2004-01-01,1177.4318181818182,86.44142841157459,106.42590886896306,8.266981215704055,1.2923666445414224,2123.4,5.421666666666667,4.1293000221252445,-0.0764215691902974
2004-02-01,1161.7250061035156,86.34749870300293,106.61149940490722,8.267125558853149,1.3639210665853403,1206.6,5.4325,4.06857893341466,-0.233135721926379
2004-03-01,1170.278267238451,88.45782570216967,108.52217433763587,8.26705667246943,1.4406086979741637,1897.7,5.255,3.814391302025837,0.1150310010198916
2004-04-01,1156.1136308149858,89.83619072323754,107.62727217240769,8.265915203094483,0.9228809582846508,543.8,5.250500000000001,4.32761904171535,-0.0359587694374097
2004-05-01,1173.6190534319196,90.54899940490722,112.03380948021298,8.267068762528268,0.4524131498838724,4340.6,5.155263157894737,4.702850008010865,0.0011703126852991
2004-06-01,1157.4000077681108,89.15500016645952,109.37909108942203,8.266656875610352,0.2915454957805155,1887.3,5.014545454545455,4.722999958764939,-0.1719510648704734
2004-07-01,1157.895457874645,88.33636370572177,109.43545497547495,8.266736203973943,0.4030086434764781,2132.6,4.881818181818182,4.478809538341704,-1.016685341981903
2004-08-01,1156.2454612038352,88.87590928511186,110.23227275501598,8.266799926757812,0.0584545334902681,1642.2,4.327727272727273,4.269272739237005,-2.18472776661254
2004-09-01,1147.6136474609375,88.65545515580611,110.0472727688876,8.266649723052979,0.0221278233635695,4145.7,4.136842105263158,4.114714281899588,-1.2896058719638743
2004-10-01,1127.4449951171875,86.87809426443917,108.93250007629396,8.267010370890299,-0.0361428156353174,2178.8,4.046666666666667,4.082809482301984,-0.6048511446434892
2004-11-01,1073.595458984375,83.598182331432,104.70227328213778,8.266501426696777,-0.2276882991543067,4144.7,3.9604545454545454,4.188142844608852,0.0749439313037485
2004-12-01,1046.708692467731,81.56913027556047,103.71913113801376,8.266936136328656,-0.36833990447606,3046.5,3.853478260869565,4.221818165345625,-0.0615089086577409
2005-01-01,1032.4976312546503,83.11190468924386,103.21523829868862,8.266501426696777,0.2106476556687129,1398.0,4.419047619047619,4.208399963378906,-0.3475021459549401
2005-02-01,1022.0345123291016,83.72349967956544,104.98600044250487,8.266501426696777,0.7228947172666853,752.4,4.88,4.157105282733315,0.4116729174809084
2005-03-01,1007.2473940641984,82.83636335893111,105.33130413552988,8.267366492229959,0.2822727290066806,1315.6,4.7727272727272725,4.490454543720592,0.5007929640554165
2005-04-01,1008.613810221354,84.26714288620721,107.18142881847564,8.266501426696777,0.3544523471650622,-1734.7,4.6845,4.330047652834938,0.6240188172139609
2005-05-01,1000.9090909090908,85.62809499104817,106.70727261629972,8.267405813390559,0.2840476535615464,546.1,4.421428571428571,4.137380917867024,0.0764765649285168
2005-06-01,1012.6318220658736,88.44227253306995,108.71045476740056,8.266501426696777,0.4627575786185991,958.6,4.456666666666667,3.993909088048068,0.2375232589312705
2005-07-01,1036.4247552780878,89.69666617257255,111.95619056338356,8.218877201988583,0.7214594986325222,622.0,4.893809523809524,4.172350025177002,1.2362844547876355
2005-08-01,1019.608690344769,87.94086987039317,110.59347865892494,8.091678536456564,0.8225533822402653,973.5,5.077727272727273,4.255173890487008,2.495201387143209
2005-09-01,1025.7571469261534,88.08000001453217,111.18142881847564,8.077081853693182,0.9554284922281902,724.6,5.148571428571429,4.193142936343238,3.2147163330017507
2005-10-01,1040.3823765345985,89.72190420968192,114.90333375476656,8.073947679428827,0.9064000024795532,3014.9,5.364,4.457599997520447,2.9775360986195336
2005-11-01,1032.0863619717684,91.49190557570684,118.46863659945402,8.077595624056729,1.149686297069897,1866.3,5.683636363636364,4.533950066566467,1.998889035455188
2005-12-01,1009.5640980113636,90.91619037446522,118.4145455793901,8.072000070051713,1.1341385310449643,1771.3,5.59909090909091,4.464952378045945,1.854578382360744
2006-01-01,969.544999556108,89.03099975585937,115.59750019420277,8.0634502064098,1.1674952672776715,-78.3,5.578095238095238,4.410599970817566,2.961918294524777
2006-02-01,957.7434997558594,90.3526322214227,117.86700019836424,8.049795055389405,0.7136579180265725,-3245.1,5.281499999999999,4.567842081973427,2.336808432802634
2006-03-01,959.594344429348,89.96695642885955,117.3221737405528,8.030160986858865,0.6976956143586532,-1625.1,5.42,4.722304385641347,2.112600527727606
2006-04-01,939.2570037841796,88.409473619963,116.96300086975096,8.004960107803345,0.4651315725226146,-3428.9,5.4505,4.985368427477385,2.0779729512290013
2006-05-01,929.945216966712,84.85727240822531,111.85543524700662,8.004247810529625,0.0955909416892311,-43.8,5.2025,5.106909058310769,1.7698692381190186
2006-06-01,941.5,85.76590902155095,114.6245450106534,7.997258988293734,0.1438701373261288,2189.9,5.247142857142857,5.1032727198167285,1.9130947905967133
2006-07-01,937.3442876906622,85.8930004119873,115.69214339483352,7.979842889876592,0.0775500154495238,-698.4,5.16,5.082449984550476,1.7821008176001634
2006-08-01,947.0986938476562,85.04521743110989,115.96217412533969,7.963621699291727,0.0631660553400692,-1540.5,4.9368181818181816,4.873652126478112,1.2980036006686513
2006-09-01,939.365243094308,85.60449981689453,117.14118993849982,7.923233350118001,0.1722952865418934,3088.4,4.888095238095239,4.715799951553345,-0.2953677737310114
2006-10-01,939.4272738370028,86.34272592717952,118.59909057617188,7.892599951137196,0.0695914783334377,2688.4,4.79421052631579,4.724619047982352,-0.7108578524623583
2006-11-01,923.56181751598,84.84454553777522,117.23636349764736,7.853336355902932,0.3122641025064308,4455.8,4.905454545454545,4.5931904429481145,0.1833554261437706
2006-12-01,911.4595220656622,83.35550041198731,117.39785730271112,7.811795280093238,0.393650011062622,332.4,4.954,4.560349988937378,0.8276364916406411
2007-01-01,925.3982570482336,84.78047579810733,120.36217498779295,7.7803652390189795,0.2814181726629083,214.1,5.041818181818182,4.760400009155274,0.6756956661882274
2007-02-01,922.022998046875,84.40631585372121,120.42149963378908,7.741814994812012,0.2855789606194747,-729.0,5.007368421052632,4.721789460433157,0.5355315751257628
2007-03-01,927.1922718394886,83.48409063165838,117.27818228981712,7.728300007906827,0.3804329134375503,-1160.4,4.93952380952381,4.55909089608626,1.0197685901693283
2007-04-01,923.8685680571056,82.14999961853027,118.91390555245536,7.714895203000023,0.3885071291242328,-2240.6,5.072857142857143,4.68435001373291,0.5322210679685027
2007-05-01,923.576506241508,82.10999991677024,120.81560848070228,7.666330420452615,0.4719177672976542,-2295.3,5.2161904761904765,4.744272708892822,0.8333485461307593
2007-06-01,928.9261794317335,82.46619015648251,122.6278577532087,7.6213333266122,0.3807857164655415,1581.5,5.4795,5.098714283534458,0.525528380438538
2007-07-01,917.2590886896306,80.77857099260602,121.39040964299984,7.564972725781527,0.5256190408979142,2569.3,5.523333333333333,4.997714292435419,0.3041062231495992
2007-08-01,934.2734799592392,80.93478260869566,116.73826068380605,7.563121712726096,0.746644308746097,2223.4,5.416818181818182,4.670173873072085,0.6048208194821045
2007-09-01,926.8415752210116,79.30210515072471,115.07736928839432,7.513209986686706,1.00864090461849,4312.6,5.520588235294118,4.511947330675628,1.51770280319427
2007-10-01,912.656523331352,77.84782575524372,115.8814345650051,7.4920477867126465,1.042596866471965,1914.3,5.5627272727272725,4.520130406255308,1.6374512663018788
2007-11-01,917.2028576078868,75.66904740106492,111.06619117373512,7.411068201065063,1.4618788072247524,3260.2,5.609545454545454,4.147666647320702,2.317247940197213
2007-12-01,929.086001586914,76.76400032043458,112.41250076293946,7.361547629038493,1.7284999918937682,822.4,5.82,4.091500008106232,2.231455994464855
2008-01-01,941.3495722231658,75.90428597586495,107.82778333581012,7.233686903248662,1.8452510750758184,-688.7,5.5627272727272725,3.7174761976514543,2.24954723222878
2008-02-01,942.9252377464658,75.67050018310547,107.06680951799665,7.156371411823091,1.5447222532166371,-2235.2,5.277222222222222,3.732499969005585,2.111847617028886
2008-03-01,978.8442818777902,72.45350036621093,100.71095239548455,7.063085737682524,1.868200013637543,972.5,5.36,3.4917999863624574,1.90449982526124
2008-04-01,986.3690447126116,72.11681851473722,102.99938165573846,6.98960000818426,1.5210432747845015,-2386.5,5.170952380952381,3.64990910616788,1.3083448431010014
2008-05-01,1035.7999965122767,72.91238076346261,104.50071461995442,6.963672767985951,1.6271428607759022,-1737.8,5.5,3.872857139224098,0.8412054839410024
2008-06-01,1030.1809547061011,73.17952364966983,106.85700007847376,6.8882809820629305,1.8105714354742144,-1143.0,5.894,4.083428564525786,1.2028302594445064
2008-07-01,1014.0709145285866,72.53727236661044,106.99731826782228,6.827021764672321,2.0449169602412947,-2261.7,6.027826086956521,3.9829091267152266,1.6384691747593831
2008-08-01,1085.0175170898438,76.0614278884161,109.50599975585938,6.8522420933372095,2.021857162748064,-3845.0,5.907,3.885142837251936,1.7166378272943097
2008-09-01,1132.2668124112215,78.26428513299851,106.55218228426848,6.8245909214019775,2.3101904819125223,1469.0,5.985238095238096,3.675047613325573,2.155125638976064
2008-10-01,1321.6391283118207,83.11173944887908,100.66908662215523,6.82212611903315,1.7541343817126611,3904.5,5.534090909090909,3.779956527378248,0.6693857668407057
2008-11-01,1400.5950073242188,86.43210561651932,96.74710083007812,6.816980028152466,2.205973663330078,2761.1,5.7275,3.521526336669922,-1.2269312205321308
2008-12-01,1360.9434761379075,83.10499988902698,91.79717320981231,6.843021786731223,2.4601363637230613,6943.8,4.868181818181818,2.408045454458757,-1.7011037878554989
2009-01-01,1348.7500055486505,84.12249946594238,90.38377380371094,6.82524544542486,1.934165795100362,175.8,4.416315789473684,2.4821499943733216,-1.9266519533358784
2009-02-01,1438.6399963378906,86.55263198049445,92.75275001525878,6.826044988632202,2.387078947769968,5013.0,5.2375,2.850421052230032,-1.7087063226352708
2009-03-01,1448.4954556551847,86.45818224820223,97.77895389903676,6.826595479791815,2.1661818317933514,5786.0,4.973636363636364,2.807454531843012,-2.1615612965471374
2009-04-01,1330.4636507901278,85.25142887660435,98.91936423561788,6.821977246891368,2.002670988314079,3139.2,4.90090909090909,2.8982381025950112,-2.155580759992306
2009-05-01,1252.9047560918898,82.16100006103515,96.52938079833984,6.814057145799909,1.7634210621683226,2329.4,5.048421052631579,3.2849999904632567,-1.98662929807494
2009-06-01,1262.3363647460938,80.09318161010742,96.7050455266779,6.82471362027255,1.547590867389332,4064.7,5.255,3.707409132610668,-1.6742557815940744
2009-07-01,1261.2956436820652,79.48909065940164,94.41221751337466,6.822504396023958,1.6466343819765237,1987.7,5.18304347826087,3.536409096284346,-1.930312175340594
2009-08-01,1236.066662016369,78.44857134137835,94.84861900692894,6.822652408054897,1.864619053886051,1169.6,5.4438095238095245,3.5791904699234736,-1.7814964707932766
2009-09-01,1206.80908203125,77.0076192220052,91.37240878018466,6.818404522809115,1.983696967244664,2197.6,5.376363636363636,3.392666669118972,-1.554564258347945
2009-10-01,1172.4272793856535,76.01181827891956,90.32600021362305,6.816900036551735,2.079259749449693,2512.2,5.445714285714286,3.366454536264593,-0.1265967260625538
2009-11-01,1161.0952322823662,75.33699989318848,89.02895318894159,6.817714282444546,1.9960785681860789,3013.8,5.391428571428572,3.3953500032424926,1.4718190051759357
2009-12-01,1161.5347741168478,76.78999987515536,90.0106957477072,6.819427273490212,1.728954556638544,1698.6,5.31,3.581045443361456,1.7424706995737544
2010-01-01,1136.1619059244792,77.840526380037,91.20809500558036,6.817064929008484,1.6424473187296007,-1776.4,5.3535,3.711052681270399,0.7450626494891699
2010-02-01,1154.775,80.15578942549855,90.20310020446776,6.819179964065552,1.6186315717195208,-322.4,5.297894736842105,3.679263165122584,0.7860435512370265
2010-03-01,1135.2782619310462,80.67130445397419,90.71113055685292,6.816595658012059,1.1993754844514743,917.1,4.918636363636363,3.7192608791848887,1.0273929304748393
2010-04-01,1113.3590864701705,81.23285747709728,93.46109078147197,6.816077254035256,1.0865757646601957,796.9,4.905909090909091,3.819333326248896,0.6950302356805091
2010-05-01,1162.9476260230654,85.3615005493164,91.8394768124535,6.817519006274996,1.538302661619689,6650.4,4.951052631578948,3.412749969959259,0.8397934476983724
2010-06-01,1214.8363647460938,86.5750004161488,90.80272778597744,6.80886814811013,1.7407618990398597,3751.1,4.934761904761905,3.194000005722046,0.1733932908360034
2010-07-01,1202.581825949929,83.07047562372117,87.52968181263317,6.766609105196866,1.92282252935104,3549.3,4.907727272727272,2.9849047433762324,0.7328586746049388
2010-08-01,1178.718172940341,82.14909120039506,85.4502726468173,6.77602726762945,1.9878181817314835,3758.1,4.676363636363636,2.6885454546321523,0.4562077045570558
2010-09-01,1163.8090875799005,81.08333297002883,84.42213648015803,6.738086331974376,1.642809499104818,4207.4,4.28,2.637190500895182,-0.6464487908456618
2010-10-01,1121.1761823381696,77.45999944777716,81.96199943905785,6.659214337666829,1.591038135006314,4265.4,4.105238095238095,2.514199960231781,-0.9248214735857944
2010-11-01,1127.2818104137075,78.37571461995442,82.41559045965022,6.643354524265636,1.7452554092572363,3897.5,4.483636363636363,2.738380954379127,-0.1589180545671737
2010-12-01,1144.6652088994565,80.04909133911133,83.35482622229534,6.642091315725575,1.1787668100364597,-1743.9,4.459130434782609,3.2803636247461494,-0.4171427255500886
2011-01-01,1116.300013950893,79.146000289917,82.57147616431827,6.587019034794399,1.325535714285714,-3159.6,4.694285714285714,3.36875,-0.4147652571936109
2011-02-01,1116.585009765625,77.78263172350432,82.58305053710937,6.568179965019226,1.199433456810635,1344.9,4.764117647058823,3.564684190248188,-0.6149595546837179
2011-03-01,1120.5521824048913,76.28956604003906,81.64582625679348,6.556552182073179,1.1051027935013005,-2438.3,4.511363636363637,3.4062608428623364,-0.4088707820295907
2011-04-01,1083.6100036621094,74.72449989318848,83.27780036926269,6.5197700500488285,1.0491047550383072,-2545.2,4.4819047619047625,3.432800006866456,0.3095541787305613
2011-05-01,1082.886346990412,74.94142841157459,81.16422687877308,6.492427262392911,1.1801666643960131,-1247.2,4.3385,3.1583333356039867,0.7275186307466188
2011-06-01,1079.5727317116475,74.6936361139471,80.49881848421964,6.472518162293867,1.25140260659255,1321.8,4.242857142857143,2.991454536264593,0.5359641063296507
2011-07-01,1056.2952415829614,74.75699958801269,79.46142905099052,6.427566687266032,1.2515738087608708,3938.8,4.22952380952381,2.97795000076294,0.3217463857327307
2011-08-01,1070.5739109205165,74.23652184527853,77.1129561714504,6.3992695808410645,1.6744743057296212,4470.5,3.960909090909091,2.2864347851794697,0.7437916632003532
2011-09-01,1115.5909201882102,76.990476335798,76.84586403586648,6.38631814176386,1.7900952388672602,2996.3,3.754,1.96390476113274,1.8437144470573967
2011-10-01,1152.2523890904015,77.15428524925595,76.61580984933036,6.368823800768171,1.727523801667349,3572.4,3.855,2.1274761983326504,1.687727744186626
2011-11-01,1131.9136463512075,77.89142899286179,77.55909104780717,6.347786318172108,1.797393945615529,6645.7,3.8027272727272727,2.005333327111744,1.074200702806523
2011-12-01,1146.1272638494318,79.61142803373791,77.87559058449484,6.344322746450251,1.841982684300575,1738.1,3.811363636363636,1.969380952063061,0.745930991127203
2012-01-01,1142.3227206143465,80.2680004119873,76.96163628318094,6.309622699564153,1.851449997901916,-2288.0,3.7955,1.9440500020980835,1.5143482677468951
2012-02-01,1121.519037155878,78.93149948120117,78.37738146100726,6.300404753003802,1.8560357042721336,-2584.0,3.814285714285714,1.95825001001358,1.72132029790422
2012-03-01,1122.8045432350852,79.53681807084517,82.45722718672319,6.312172781337392,1.7911991340257392,3580.0,3.952380952380953,2.1611818183552134,1.711531552451889
2012-04-01,1132.9428536551338,79.40150032043456,81.40880984351749,6.303019069489979,1.8691499984264373,-144.8,3.8975,2.0283500015735627,1.5898364624018426
2012-05-01,1153.908686098845,80.92545491998845,79.77821681810462,6.31644348476244,1.959047630101572,5015.8,3.7490476190476194,1.7899999889460476,1.1583579877046486
2012-06-01,1161.4290422712054,82.22047714960007,79.28866613478888,6.364047618139358,2.021976182710557,6069.3,3.6305,1.6085238172894432,1.480017479675451
2012-07-01,1137.9318126331675,83.06761896042596,79.03390815041281,6.371672717007724,1.7958571431750343,8375.5,3.295,1.4991428568249656,1.737263764083747
2012-08-01,1127.1043382727582,82.16000034498131,78.66547858196756,6.360578308934751,1.4190079037285603,1618.0,3.088181818181818,1.6691739144532576,1.8393293604919887
2012-09-01,1122.1450134277345,79.8142109921104,78.17174949645997,6.324150037765503,1.3332631549835208,6484.3,3.0460000000000003,1.7127368450164795,1.1951407241990388
2012-10-01,1103.3391272503395,79.70809500558036,78.93417391569719,6.274878253107485,1.2536190507525486,7287.6,2.9747619047619045,1.7211428540093558,1.318593059343039
2012-11-01,1084.013633034446,80.68523842947823,80.94004544344816,6.236540946093473,1.3487445998707894,8187.5,2.9913636363636367,1.6426190364928472,1.513333017779507
2012-12-01,1070.864990234375,79.75849990844726,83.76338050478981,6.234776247115362,1.4301868380998313,7189.4,3.1347368421052635,1.7045500040054322,1.7636197879474542
2013-01-01,1061.2000068996265,79.87333279564267,88.91804338538128,6.223295626432999,1.1609090825076749,2752.4,3.0509090909090912,1.8900000084014168,1.216334909400649
2013-02-01,1082.0950134277343,80.60526315789474,93.1216007232666,6.232625031471253,1.076263161960401,2212.5,3.043684210526316,1.9674210485659147,1.5112268168245522
2013-03-01,1098.4618966238838,82.6254997253418,94.77909633091518,6.220004808335077,0.96400000166893,6740.2,2.9095,1.94549999833107,1.022271769612526
