month,value
2011-08-01,48126380000.0
2011-09-01,46836860000.0
2011-10-01,45270290000.0
2011-11-01,45605740000.0
2011-12-01,46229100000.0
2012-01-01,45101080000.0
2012-02-01,49880690000.0
2012-03-01,46576810000.0
2012-04-01,44630800000.0
2012-05-01,46796600000.0
2012-06-01,45698160000.0
2012-07-01,44313110000.0
2012-08-01,45123490000.0
2012-09-01,45405220000.0
2012-10-01,46306360000.0
2012-11-01,46340930000.0
2012-12-01,44796730000.0
2013-01-01,48120410000.0
2013-02-01,47086740000.0
2013-03-01,45405300000.0
2013-04-01,45525010000.0
2013-05-01,47900960000.0
2013-06-01,45468070000.0
2013-07-01,45692040000.0
2013-08-01,47873850000.0
2013-09-01,45367350000.0
2013-10-01,48583010000.0
2013-11-01,47450440000.0
2013-12-01,46886320000.0
2014-01-01,48728050000.0
2014-02-01,47190040000.0
2014-03-01,47672620000.0
2014-04-01,48983070000.0
2014-05-01,47882720000.0
2014-06-01,46366990000.0
2014-07-01,47951810000.0
2014-08-01,47782440000.0
2014-09-01,47902280000.0
2014-10-01,49729360000.0
2014-11-01,46356600000.0
2014-12-01,47984340000.0
2015-01-01,48473990000.0
2015-02-01,45574700000.0
2015-03-01,45533550000.0
2015-04-01,44973720000.0
2015-05-01,42856290000.0
2015-06-01,45200580000.0
2015-07-01,44901540000.0
2015-08-01,41182380000.0
2015-09-01,42752080000.0
2015-10-01,42865000000.0
2015-11-01,43222190000.0
2015-12-01,41595710000.0
2016-01-01,38751240000.0
2016-02-01,39685910000.0
2016-03-01,41666310000.0
2016-04-01,39934200000.0
2016-05-01,40648120000.0
2016-06-01,43283440000.0
2016-07-01,40900830000.0
2016-08-01,41299850000.0
2016-09-01,40689750000.0
2016-10-01,41190340000.0
2016-11-01,44806470000.0
2016-12-01,43707900000.0
2017-01-01,43536900000.0
2017-02-01,47008960000.0
2017-03-01,47837160000.0
2017-04-01,48863610000.0
2017-05-01,46211460000.0
2017-06-01,49496690000.0
2017-07-01,48073300000.0
2017-08-01,49493110000.0
2017-09-01,52870750000.0
2017-10-01,45604840000.0
2017-11-01,47676940000.0
2017-12-01,49168690000.0
2018-01-01,51220790000.0
2018-02-01,50249810000.0
2018-03-01,49008130000.0
2018-04-01,49335460000.0
2018-05-01,51050980000.0
2018-06-01,50110570000.0
2018-07-01,51159020000.0
2018-08-01,52570320000.0
2018-09-01,49945530000.0
2018-10-01,54038430000.0
2018-11-01,50828990000.0
2018-12-01,47292820000.0
2019-01-01,48490850000.0
2019-02-01,44212430000.0
2019-03-01,45191440000.0
2019-04-01,48102840000.0
2019-05-01,46173340000.0
2019-06-01,43430100000.0
2019-07-01,45371260000.0
2019-08-01,45299620000.0
2019-09-01,43924120000.0
2019-10-01,45898010000.0
2019-11-01,44005030000.0
2019-12-01,44000350000.0
2020-01-01,45939340000.0
2020-02-01,44939410000.0
2020-03-01,44939030000.0
2020-04-01,35466310000.0
2020-05-01,35470810000.0
2020-06-01,38734390000.0
2020-07-01,41787250000.0
2020-08-01,41273700000.0
2020-09-01,46047670000.0
2020-10-01,45174060000.0
2020-11-01,45175360000.0
2020-12-01,49796590000.0
2021-01-01,50648430000.0
2021-02-01,49546840000.0
2021-03-01,51453960000.0
2021-04-01,50954430000.0
2021-05-01,51174220000.0
2021-06-01,54055060000.0
2021-07-01,54574730000.0
2021-08-01,54893840000.0
2021-09-01,54272140000.0
2021-10-01,56147000000.0
2021-11-01,59602890000.0
2021-12-01,58920850000.0
2022-01-01,58507080000.0
2022-02-01,60145180000.0
2022-03-01,60468420000.0
2022-04-01,58690130000.0
2022-05-01,60864460000.0
2022-06-01,57740320000.0
2022-07-01,58738130000.0
2022-08-01,58505110000.0
2022-09-01,55427740000.0
2022-10-01,52636520000.0
2022-11-01,51954040000.0
2022-12-01,52088890000.0
2023-01-01,50140720000.0
2023-02-01,54181870000.0
2023-03-01,53250570000.0
2023-04-01,49325280000.0
2023-05-01,52508560000.0
2023-06-01,53102840000.0
2023-07-01,50325140000.0
2023-08-01,52798740000.0
2023-09-01,53309220000.0
2023-10-01,55089310000.0
2023-11-01,55584030000.0
2023-12-01,55007720000.0
2024-01-01,58593400000.0
2024-02-01,56964890000.0
2024-03-01,54649730000.0
2024-04-01,56309620000.0
2024-05-01,58212100000.0
2024-06-01,56415540000.0
2024-07-01,57107010000.0
2024-08-01,58465010000.0
2024-09-01,57196750000.0
2024-10-01,57115390000.0
2024-11-01,57260880000.0
2024-12-01,57205970000.0
2025-01-01,53948150000.0
2025-02-01,56233440000.0
2025-03-01,56973670000.0
2025-04-01,57667910000.0
2025-05-01,57802680000.0
2025-06-01,58919450000.0
2025-07-01,59904890000.0
2025-08-01,59857020000.0
2025-09-01,63211650000.0
2025-10-01,60119950000.0
2025-11-01,61021530000.0
2025-12-01,65440510000.0
2026-01-01,71367420000.0
2026-02-01,73598900000.0
2026-03-01,84920500000.0
2026-04-01,85684590000.0
2026-05-01,88230960000.0
2026-06-01,100558300000.0
