month,value
2024-01-01,9410109742.0
2024-02-01,9953462796.0
2024-03-01,11686122236.0
2024-04-01,9960054128.0
2024-05-01,11384299979.0
2024-06-01,13434777290.0
2024-07-01,11214025559.0
2024-08-01,11894501082.0
2024-09-01,13627879186.0
2024-10-01,12551803581.0
2024-11-01,12458119886.0
2024-12-01,14511028387.0
2025-01-01,10136609158.0
2025-02-01,9651023826.0
2025-03-01,13063446463.0
2025-04-01,11674945905.0
2025-05-01,13802782313.0
2025-06-01,14969092269.0
2025-07-01,14710651573.0
2025-08-01,15104412460.0
2025-09-01,16627081701.0
2025-10-01,15710526078.0
2025-11-01,17266555429.0
2025-12-01,20774603010.0
2026-01-01,20551211634.0
2026-02-01,25145669967.0
2026-03-01,32836508746.0
2026-04-01,31906661024.0
2026-05-01,37162343114.0
2026-06-01,44816398836.0
2026-07-01,41015104140.0
2026-08-01,46670721377.0
