date,value
2015-04-17,119.15
2015-04-18,118.46
2015-04-19,118.23
2015-04-20,117.78
2015-04-21,117.65
2015-04-22,117.4
2015-04-23,114.52
2015-04-24,111.81
2015-04-25,112.11
2015-04-26,112.58
2015-04-27,111.59
2015-04-28,109.13
2015-04-29,107.75
2015-04-30,106.06
2015-05-01,103.89
2015-05-02,103.64
2015-05-03,103.1
2015-05-04,99.62
2015-05-05,97.15
2015-05-06,94.0
2015-05-07,96.14
2015-05-08,99.76
2015-05-09,100.15
2015-05-10,100.28
2015-05-11,103.98
2015-05-12,106.48
2015-05-13,108.76
2015-05-14,111.44
2015-05-15,112.83
2015-05-16,112.26
2015-05-17,112.75
2015-05-18,112.97
2015-05-19,113.15
2015-05-20,114.7
2015-05-21,113.24
2015-05-22,111.77
2015-05-23,111.88
2015-05-24,111.67
2015-05-25,109.55
2015-05-26,107.18
2015-05-27,104.69
2015-05-28,105.29
2015-05-29,104.09
2015-05-30,103.68
2015-05-31,103.58
2015-06-01,103.59
2015-06-02,101.12
2015-06-03,97.87
2015-06-04,95.89
2015-06-05,95.15
2015-06-06,95.32
2015-06-07,94.13
2015-06-08,94.03
2015-06-09,94.99
2015-06-10,97.51
2015-06-11,96.34
2015-06-12,97.18
2015-06-13,97.15
2015-06-14,97.44
2015-06-15,96.44
2015-06-16,96.24
2015-06-17,94.99
2015-06-18,96.44
2015-06-19,96.78
2015-06-20,96.89
2015-06-21,96.66
2015-06-22,98.2
2015-06-23,101.14
2015-06-24,104.1
2015-06-25,103.48
2015-06-26,103.61
2015-06-27,103.67
2015-06-28,103.9
2015-06-29,100.17
2015-06-30,95.59
2015-07-01,96.0
2015-07-02,98.49
2015-07-03,96.68
2015-07-04,96.64
2015-07-05,96.43
2015-07-06,96.68
2015-07-07,96.6
2015-07-08,90.13
2015-07-09,84.71
2015-07-10,86.0
2015-07-11,86.29
2015-07-12,86.4
2015-07-13,90.58
2015-07-14,94.72
2015-07-15,99.03
2015-07-16,101.92
2015-07-17,101.85
2015-07-18,101.82
2015-07-19,102.84
2015-07-20,101.94
2015-07-21,101.26
2015-07-22,100.06
2015-07-23,99.36
2015-07-24,99.14
2015-07-25,98.82
2015-07-26,98.08
2015-07-27,95.84
2015-07-28,92.23
2015-07-29,93.67
2015-07-30,94.83
2015-07-31,94.9
2015-08-01,94.8
2015-08-02,94.56
2015-08-03,94.74
2015-08-04,98.32
2015-08-05,98.57
2015-08-06,98.84
2015-08-07,97.9
2015-08-08,98.13
2015-08-09,97.9
2015-08-10,97.5
2015-08-11,96.81
2015-08-12,91.9
2015-08-13,93.0
2015-08-14,92.92
2015-08-15,92.99
2015-08-16,94.39
2015-08-17,99.09
2015-08-18,97.29
2015-08-19,95.97
2015-08-20,91.09
2015-08-21,84.82
2015-08-22,83.81
2015-08-23,81.82
2015-08-24,72.76
2015-08-25,71.39
2015-08-26,77.37
2015-08-27,81.61
2015-08-28,91.76
2015-08-29,92.69
2015-08-30,94.45
2015-08-31,100.74
2015-09-01,100.49
2015-09-02,97.3
2015-09-03,95.79
2015-09-04,90.72
2015-09-05,90.48
2015-09-06,89.59
2015-09-07,88.43
2015-09-08,89.94
2015-09-09,94.66
2015-09-10,93.03
2015-09-11,93.68
2015-09-12,93.75
2015-09-13,94.5
2015-09-14,93.27
2015-09-15,93.2
2015-09-16,93.77
2015-09-17,96.31
2015-09-18,97.78
2015-09-19,97.76
2015-09-20,97.76
2015-09-21,98.77
2015-09-22,100.82
2015-09-23,95.65
2015-09-24,95.87
2015-09-25,96.21
2015-09-26,96.32
2015-09-27,96.29
2015-09-28,97.05
2015-09-29,93.76
2015-09-30,95.93
2015-10-01,98.33
2015-10-02,97.55
2015-10-03,97.61
2015-10-04,98.16
2015-10-05,100.04
2015-10-06,102.58
2015-10-07,106.23
2015-10-08,105.61
2015-10-09,106.49
2015-10-10,106.51
2015-10-11,105.72
2015-10-12,105.55
2015-10-13,104.86
2015-10-14,102.82
2015-10-15,101.11
2015-10-16,102.01
2015-10-17,102.43
2015-10-18,102.74
2015-10-19,102.1
2015-10-20,102.64
2015-10-21,101.84
2015-10-22,99.32
2015-10-23,100.62
2015-10-24,100.54
2015-10-25,99.98
2015-10-26,101.82
2015-10-27,102.2
2015-10-28,103.2
2015-10-29,107.31
2015-10-30,107.37
2015-10-31,107.24
2015-11-01,106.98
2015-11-02,106.03
2015-11-03,106.76
2015-11-04,108.23
2015-11-05,106.83
2015-11-06,106.71
2015-11-07,106.97
2015-11-08,107.74
2015-11-09,106.51
2015-11-10,102.41
2015-11-11,99.31
2015-11-12,100.23
2015-11-13,97.36
2015-11-14,96.19
2015-11-15,95.79
2015-11-16,92.94
2015-11-17,97.04
2015-11-18,96.88
2015-11-19,96.99
2015-11-20,98.11
2015-11-21,99.22
2015-11-22,99.3
2015-11-23,104.87
2015-11-24,102.66
2015-11-25,103.97
2015-11-26,104.72
2015-11-27,104.41
2015-11-28,103.82
2015-11-29,104.52
2015-11-30,100.88
2015-12-01,102.1
2015-12-02,102.94
2015-12-03,100.75
2015-12-04,99.07
2015-12-05,99.55
2015-12-06,99.11
2015-12-07,101.82
2015-12-08,98.84
2015-12-09,96.0
2015-12-10,95.14
2015-12-11,96.47
2015-12-12,95.82
2015-12-13,94.87
2015-12-14,90.95
2015-12-15,92.36
2015-12-16,95.15
2015-12-17,96.06
2015-12-18,94.79
2015-12-19,94.98
2015-12-20,95.4
2015-12-21,96.89
2015-12-22,96.68
2015-12-23,95.97
2015-12-24,95.59
2015-12-25,95.48
2015-12-26,95.54
2015-12-27,95.48
2015-12-28,95.57
2015-12-29,95.28
2015-12-30,93.13
2015-12-31,90.71
2016-01-01,90.59
2016-01-02,90.62
2016-01-03,90.33
2016-01-04,86.58
2016-01-05,82.03
2016-01-06,81.03
2016-01-07,78.72
2016-01-08,78.67
2016-01-09,78.47
2016-01-10,78.23
2016-01-11,79.07
2016-01-12,82.3
2016-01-13,85.27
2016-01-14,87.37
2016-01-15,89.87
2016-01-16,89.55
2016-01-17,90.14
2016-01-18,93.69
2016-01-19,94.58
2016-01-20,89.33
2016-01-21,89.71
2016-01-22,91.35
2016-01-23,92.26
2016-01-24,92.18
2016-01-25,92.77
2016-01-26,89.99
2016-01-27,94.35
2016-01-28,96.08
2016-01-29,94.46
2016-01-30,94.33
2016-01-31,94.09
2016-02-01,90.78
2016-02-02,92.66
2016-02-03,92.13
2016-02-04,94.6
2016-02-05,93.93
2016-02-06,93.54
2016-02-07,93.6
2016-02-08,95.29
2016-02-09,94.8
2016-02-10,89.89
2016-02-11,77.6
2016-02-12,70.8
2016-02-13,70.87
2016-02-14,71.7
2016-02-15,76.19
2016-02-16,82.61
2016-02-17,87.72
2016-02-18,93.02
2016-02-19,98.51
2016-02-20,98.22
2016-02-21,99.09
2016-02-22,99.33
2016-02-23,97.83
2016-02-24,94.87
2016-02-25,94.76
2016-02-26,95.97
2016-02-27,96.43
2016-02-28,96.72
2016-02-29,95.03
2016-03-01,91.64
2016-03-02,94.05
2016-03-03,95.34
2016-03-04,94.42
2016-03-05,94.54
2016-03-06,94.67
2016-03-07,97.71
2016-03-08,98.37
2016-03-09,96.58
2016-03-10,96.84
2016-03-11,97.2
2016-03-12,97.4
2016-03-13,97.86
2016-03-14,98.88
2016-03-15,101.59
2016-03-16,102.05
2016-03-17,102.76
2016-03-18,104.09
2016-03-19,104.04
2016-03-20,103.76
2016-03-21,101.73
2016-03-22,101.84
2016-03-23,102.92
2016-03-24,100.76
2016-03-25,98.31
2016-03-26,97.92
2016-03-27,96.92
2016-03-28,97.1
2016-03-29,98.51
2016-03-30,100.87
2016-03-31,102.51
2016-04-01,103.87
2016-04-02,104.56
2016-04-03,105.97
2016-04-04,107.37
2016-04-05,104.73
2016-04-06,102.77
2016-04-07,103.46
2016-04-08,102.58
2016-04-09,102.45
2016-04-10,102.5
2016-04-11,102.53
2016-04-12,103.17
2016-04-13,103.87
2016-04-14,103.06
2016-04-15,103.63
2016-04-16,102.89
2016-04-17,101.71
2016-04-18,98.84
2016-04-19,101.07
2016-04-20,100.89
2016-04-21,100.73
2016-04-22,99.37
2016-04-23,99.0
2016-04-24,98.64
2016-04-25,97.22
2016-04-26,93.34
2016-04-27,92.6
2016-04-28,92.41
2016-04-29,93.27
2016-04-30,92.88
2016-05-01,92.51
2016-05-02,94.31
2016-05-03,98.76
2016-05-04,98.61
2016-05-05,95.9
2016-05-06,95.08
2016-05-07,96.25
2016-05-08,96.74
2016-05-09,97.15
2016-05-10,94.67
2016-05-11,96.26
2016-05-12,98.34
2016-05-13,99.46
2016-05-14,99.41
2016-05-15,99.64
2016-05-16,100.26
2016-05-17,101.09
2016-05-18,98.21
2016-05-19,95.96
2016-05-20,95.7
2016-05-21,95.88
2016-05-22,95.83
2016-05-23,95.84
2016-05-24,91.84
2016-05-25,92.45
2016-05-26,91.77
2016-05-27,90.0
2016-05-28,89.81
2016-05-29,89.82
2016-05-30,89.67
2016-05-31,91.59
2016-06-01,92.96
2016-06-02,93.99
2016-06-03,95.83
2016-06-04,95.69
2016-06-05,95.86
2016-06-06,94.11
2016-06-07,95.78
2016-06-08,95.11
2016-06-09,95.43
2016-06-10,94.66
2016-06-11,94.26
