month,value
2014-07-01,99.56132
2014-08-01,99.60847
2014-09-01,99.70106
2014-10-01,99.83398
2014-11-01,99.99783
2014-12-01,100.1608
2015-01-01,100.2848
2015-02-01,100.3703
2015-03-01,100.4164
2015-04-01,100.423
2015-05-01,100.3983
2015-06-01,100.3552
2015-07-01,100.3203
2015-08-01,100.2991
2015-09-01,100.2926
2015-10-01,100.2863
2015-11-01,100.2745
2015-12-01,100.2588
2016-01-01,100.2479
2016-02-01,100.2623
2016-03-01,100.3068
2016-04-01,100.3711
2016-05-01,100.452
2016-06-01,100.5497
2016-07-01,100.6607
2016-08-01,100.7828
2016-09-01,100.9023
2016-10-01,101.0126
2016-11-01,101.1328
2016-12-01,101.2743
2017-01-01,101.4205
2017-02-01,101.5487
2017-03-01,101.6379
2017-04-01,101.6746
2017-05-01,101.6589
2017-06-01,101.6019
2017-07-01,101.5024
2017-08-01,101.371
2017-09-01,101.2166
2017-10-01,101.046
2017-11-01,100.8541
2017-12-01,100.6625
2018-01-01,100.4995
2018-02-01,100.3729
2018-03-01,100.2668
2018-04-01,100.1768
2018-05-01,100.0905
2018-06-01,99.99321
2018-07-01,99.89094
2018-08-01,99.79268
2018-09-01,99.69596
2018-10-01,99.60009
2018-11-01,99.52086
2018-12-01,99.472
2019-01-01,99.43953
2019-02-01,99.41114
2019-03-01,99.36005
2019-04-01,99.27576
2019-05-01,99.18169
2019-06-01,99.09557
2019-07-01,99.01312
2019-08-01,98.96012
2019-09-01,98.95116
2019-10-01,98.99418
2019-11-01,99.07574
2019-12-01,99.16548
2020-01-01,99.22089
2020-02-01,99.25285
2020-03-01,99.28116
2020-04-01,99.3399
2020-05-01,99.45856
2020-06-01,99.67153
2020-07-01,99.96716
2020-08-01,100.3214
2020-09-01,100.7041
2020-10-01,101.0863
2020-11-01,101.456
2020-12-01,101.8097
2021-01-01,102.15
2021-02-01,102.4542
2021-03-01,102.6995
2021-04-01,102.8562
2021-05-01,102.8793
2021-06-01,102.7561
2021-07-01,102.5136
2021-08-01,102.1989
2021-09-01,101.847
2021-10-01,101.5023
2021-11-01,101.2098
2021-12-01,100.9794
2022-01-01,100.7894
2022-02-01,100.6317
2022-03-01,100.4912
2022-04-01,100.3395
2022-05-01,100.1469
2022-06-01,99.90514
2022-07-01,99.63197
2022-08-01,99.33768
2022-09-01,99.00018
2022-10-01,98.62319
2022-11-01,98.24632
2022-12-01,97.93127
2023-01-01,97.70928
2023-02-01,97.60945
2023-03-01,97.62552
2023-04-01,97.72575
2023-05-01,97.88698
2023-06-01,98.0691
2023-07-01,98.22576
2023-08-01,98.36804
2023-09-01,98.51115
2023-10-01,98.66666
2023-11-01,98.8429
2023-12-01,99.03266
2024-01-01,99.21693
2024-02-01,99.38245
2024-03-01,99.50999
2024-04-01,99.58758
2024-05-01,99.60667
2024-06-01,99.58306
2024-07-01,99.52573
2024-08-01,99.44301
2024-09-01,99.34438
2024-10-01,99.24655
2024-11-01,99.17279
2024-12-01,99.13811
2025-01-01,99.13673
2025-02-01,99.16148
2025-03-01,99.19601
2025-04-01,99.23434
2025-05-01,99.29452
2025-06-01,99.37299
2025-07-01,99.45575
2025-08-01,99.55292
2025-09-01,99.68238
2025-10-01,99.87205
2025-11-01,100.1177
2025-12-01,100.4135
2026-01-01,100.7704
2026-02-01,101.1755
2026-03-01,101.602
2026-04-01,102.0145
2026-05-01,102.3814
2026-06-01,102.6566
2026-07-01,102.8088
2026-08-01,102.8694
