month,value
2009-12-01,1682.77001953125
2010-01-01,1602.4300537109375
2010-02-01,1594.5799560546875
2010-03-01,1692.8499755859375
2010-04-01,1741.56005859375
2010-05-01,1641.25
2010-06-01,1698.2900390625
2010-07-01,1759.3299560546875
2010-08-01,1742.75
2010-09-01,1872.81005859375
2010-10-01,1882.949951171875
2010-11-01,1904.6300048828125
2010-12-01,2051.0
2011-01-01,2069.72998046875
2011-02-01,1939.300048828125
2011-03-01,2106.699951171875
2011-04-01,2192.360107421875
2011-05-01,2142.469970703125
2011-06-01,2100.68994140625
2011-07-01,2133.2099609375
2011-08-01,1880.1099853515625
2011-09-01,1769.6500244140625
2011-10-01,1909.030029296875
2011-11-01,1847.510009765625
2011-12-01,1825.739990234375
2012-01-01,1955.7900390625
2012-02-01,2030.25
2012-03-01,2014.0400390625
2012-04-01,1981.989990234375
2012-05-01,1843.469970703125
2012-06-01,1854.010009765625
2012-07-01,1881.989990234375
2012-08-01,1905.1199951171875
2012-09-01,1996.2099609375
2012-10-01,1912.06005859375
2012-11-01,1932.9000244140625
2012-12-01,1997.050048828125
2013-01-01,1961.93994140625
2013-02-01,2026.489990234375
2013-03-01,2004.8900146484375
2013-04-01,1963.949951171875
2013-05-01,2001.050048828125
2013-06-01,1863.3199462890625
2013-07-01,1914.030029296875
2013-08-01,1926.3599853515625
2013-09-01,1996.9599609375
2013-10-01,2030.0899658203125
2013-11-01,2044.8699951171875
2013-12-01,2011.3399658203125
2014-01-01,1941.1500244140625
2014-02-01,1979.989990234375
2014-03-01,1985.6099853515625
2014-04-01,1961.7900390625
2014-05-01,1994.9599609375
2014-06-01,2002.2099609375
2014-07-01,2076.1201171875
2014-08-01,2068.5400390625
2014-09-01,2020.0899658203125
2014-10-01,1964.4300537109375
2014-11-01,1980.780029296875
2014-12-01,1915.5899658203125
2015-01-01,1949.260009765625
2015-02-01,1985.800048828125
2015-03-01,2041.030029296875
2015-04-01,2127.169921875
2015-05-01,2114.800048828125
2015-06-01,2074.199951171875
2015-07-01,2030.1600341796875
2015-08-01,1941.489990234375
2015-09-01,1962.81005859375
2015-10-01,2029.469970703125
2015-11-01,1991.969970703125
2015-12-01,1961.31005859375
2016-01-01,1912.06005859375
2016-02-01,1916.6600341796875
2016-03-01,1995.8499755859375
2016-04-01,1994.1500244140625
2016-05-01,1983.4000244140625
2016-06-01,1970.3499755859375
2016-07-01,2016.18994140625
2016-08-01,2034.6500244140625
2016-09-01,2043.6300048828125
2016-10-01,2008.18994140625
2016-11-01,1983.47998046875
2016-12-01,2026.4599609375
2017-01-01,2067.570068359375
2017-02-01,2091.639892578125
2017-03-01,2160.22998046875
2017-04-01,2205.43994140625
2017-05-01,2347.3798828125
2017-06-01,2391.7900390625
2017-07-01,2402.7099609375
2017-08-01,2363.18994140625
2017-09-01,2394.469970703125
2017-10-01,2523.429931640625
2017-11-01,2476.3701171875
2017-12-01,2467.489990234375
2018-01-01,2566.4599609375
2018-02-01,2427.360107421875
2018-03-01,2445.85009765625
2018-04-01,2515.3798828125
2018-05-01,2423.010009765625
2018-06-01,2326.1298828125
2018-07-01,2295.260009765625
2018-08-01,2322.8798828125
2018-09-01,2343.070068359375
2018-10-01,2029.68994140625
2018-11-01,2096.860107421875
2018-12-01,2041.0400390625
2019-01-01,2204.85009765625
2019-02-01,2195.43994140625
2019-03-01,2140.669921875
2019-04-01,2203.590087890625
2019-05-01,2041.739990234375
2019-06-01,2130.6201171875
2019-07-01,2024.550048828125
2019-08-01,1967.7900390625
2019-09-01,2063.050048828125
2019-10-01,2083.47998046875
2019-11-01,2087.9599609375
2019-12-01,2197.669921875
2020-01-01,2119.010009765625
2020-02-01,1987.010009765625
2020-03-01,1754.6400146484375
2020-04-01,1947.56005859375
2020-05-01,2029.5999755859375
2020-06-01,2108.330078125
2020-07-01,2249.3701171875
2020-08-01,2326.169921875
2020-09-01,2327.889892578125
2020-10-01,2267.14990234375
2020-11-01,2591.340087890625
2020-12-01,2873.469970703125
2021-01-01,2976.2099609375
2021-02-01,3012.949951171875
2021-03-01,3061.419921875
2021-04-01,3147.860107421875
2021-05-01,3203.919921875
2021-06-01,3296.679931640625
2021-07-01,3202.320068359375
2021-08-01,3199.27001953125
2021-09-01,3068.820068359375
2021-10-01,2970.679931640625
2021-11-01,2839.010009765625
2021-12-01,2977.64990234375
2022-01-01,2663.340087890625
2022-02-01,2699.179931640625
2022-03-01,2757.64990234375
2022-04-01,2695.050048828125
2022-05-01,2685.89990234375
2022-06-01,2332.639892578125
2022-07-01,2451.5
2022-08-01,2472.050048828125
2022-09-01,2155.489990234375
2022-10-01,2293.610107421875
2022-11-01,2472.530029296875
2022-12-01,2236.39990234375
2023-01-01,2425.080078125
2023-02-01,2412.85009765625
2023-03-01,2476.860107421875
2023-04-01,2501.530029296875
2023-05-01,2577.1201171875
2023-06-01,2564.280029296875
2023-07-01,2632.580078125
2023-08-01,2556.27001953125
2023-09-01,2465.070068359375
2023-10-01,2277.989990234375
2023-11-01,2535.2900390625
2023-12-01,2655.280029296875
2024-01-01,2497.090087890625
2024-02-01,2642.360107421875
2024-03-01,2746.6298828125
2024-04-01,2692.06005859375
2024-05-01,2636.52001953125
2024-06-01,2797.820068359375
2024-07-01,2770.68994140625
2024-08-01,2674.31005859375
2024-09-01,2593.27001953125
2024-10-01,2556.14990234375
2024-11-01,2455.909912109375
2024-12-01,2399.489990234375
2025-01-01,2517.3701171875
2025-02-01,2532.780029296875
2025-03-01,2481.1201171875
2025-04-01,2556.610107421875
2025-05-01,2697.669921875
2025-06-01,3071.699951171875
2025-07-01,3245.43994140625
2025-08-01,3186.010009765625
