month,us10y,jp10y,usdjpy,rate_gap
1990-08-01,8.752608695652174,7.62,147.4609,1.1326086956521744
1990-09-01,8.893157894736841,8.032,138.4405,0.8611578947368415
1990-10-01,8.719545454545456,7.6,129.5909,1.119545454545456
1990-11-01,8.392,7.08,129.2155,1.3119999999999994
1990-12-01,8.075,6.454,133.889,1.6209999999999996
1991-01-01,8.091904761904763,6.432,133.6986,1.6599047619047624
1991-02-01,7.854736842105264,6.309,130.5358,1.5457368421052635
1991-03-01,8.11,6.591,137.3867,1.5189999999999992
1991-04-01,8.039090909090909,6.64,137.1127,1.3990909090909094
1991-05-01,8.067727272727273,6.637,138.2218,1.4307272727272737
1991-06-01,8.284,6.735,139.7475,1.5490000000000004
1991-07-01,8.272727272727273,6.67,137.83,1.6027272727272734
1991-08-01,7.9,6.414,136.8164,1.4860000000000007
1991-09-01,7.65,6.081,134.2995,1.569
1991-10-01,7.527272727272727,5.885,130.7723,1.6422727272727276
1991-11-01,7.417368421052632,5.927,129.6321,1.490368421052632
1991-12-01,7.088571428571429,5.719,128.0395,1.3695714285714287
1992-01-01,7.032380952380953,5.449,125.4614,1.5833809523809528
1992-02-01,7.337894736842105,5.578,127.6989,1.7598947368421047
1992-03-01,7.542272727272728,5.531,132.8627,2.011272727272728
1992-04-01,7.480476190476191,5.71,133.5395,1.7704761904761908
1992-05-01,7.392,5.739,130.771,1.6530000000000005
1992-06-01,7.261818181818182,5.64,126.8355,1.621818181818182
1992-07-01,6.844545454545455,5.408,125.8817,1.4365454545454543
1992-08-01,6.585714285714286,5.112,126.231,1.4737142857142862
1992-09-01,6.415238095238095,5.021,122.5967,1.3942380952380953
1992-10-01,6.589047619047619,5.015,121.1652,1.5740476190476196
1992-11-01,6.873157894736842,4.868,123.88,2.0051578947368416
1992-12-01,6.77,4.848,124.0409,1.9219999999999997
1993-01-01,6.6000000000000005,4.723,124.9932,1.8770000000000007
1993-02-01,6.258947368421053,4.409,120.7595,1.849947368421053
1993-03-01,5.975217391304348,4.318,117.0174,1.6572173913043482
1993-04-01,5.9695238095238095,4.593,112.4114,1.3765238095238095
1993-05-01,6.0355,4.943,110.343,1.0925000000000002
1993-06-01,5.962727272727273,4.836,107.4118,1.1267272727272726
1993-07-01,5.805238095238095,4.517,107.6914,1.2882380952380945
1993-08-01,5.677727272727273,4.407,103.765,1.2707272727272727
1993-09-01,5.36,4.016,105.5748,1.3440000000000003
1993-10-01,5.334,3.931,107.02,1.4029999999999996
1993-11-01,5.724,3.762,107.8765,1.9620000000000002
1993-12-01,5.774090909090909,3.396,109.913,2.3780909090909095
1994-01-01,5.750500000000001,3.597,111.4415,2.1535000000000006
1994-02-01,5.9731578947368416,4.041,106.3011,1.9321578947368412
1994-03-01,6.482608695652174,4.453,105.0974,2.0296086956521737
1994-04-01,6.972105263157895,4.093,103.4843,2.8791052631578946
1994-05-01,7.183333333333333,3.984,103.7533,3.1993333333333327
1994-06-01,7.101363636363636,4.278,102.5264,2.823363636363636
1994-07-01,7.298,4.531,98.445,2.7670000000000003
1994-08-01,7.236086956521739,4.778,99.9404,2.45808695652174
1994-09-01,7.457142857142857,4.642,98.7743,2.815142857142857
1994-10-01,7.744,4.684,98.353,3.0599999999999996
1994-11-01,7.955,4.718,98.044,3.237
1994-12-01,7.813809523809524,4.561,100.1824,3.252809523809524
1995-01-01,7.7795,4.605,99.766,3.174499999999999
1995-02-01,7.469473684210525,4.515,98.2368,2.9544736842105257
1995-03-01,7.204782608695653,4.113,90.5196,3.0917826086956524
1995-04-01,7.062631578947368,3.545,83.6895,3.517631578947368
1995-05-01,6.632727272727274,3.386,85.1127,3.2467272727272736
1995-06-01,6.168181818181818,3.024,84.6355,3.144181818181818
1995-07-01,6.2780000000000005,2.933,87.397,3.3450000000000006
1995-08-01,6.488260869565217,3.215,94.7383,3.273260869565217
1995-09-01,6.1975,3.03,100.5455,3.1675
1995-10-01,6.044761904761905,2.925,100.839,3.119761904761905
1995-11-01,5.93047619047619,3.048,101.94,2.88247619047619
1995-12-01,5.7115,2.983,101.8495,2.7285
1996-01-01,5.652380952380953,3.12,105.7514,2.5323809523809526
1996-02-01,5.8055,3.271,105.788,2.5345000000000004
1996-03-01,6.268571428571428,3.299,105.94,2.969571428571428
1996-04-01,6.511363636363637,3.301,107.1995,3.2103636363636365
1996-05-01,6.736818181818182,3.388,106.3423,3.3488181818181824
1996-06-01,6.912000000000001,3.252,108.96,3.660000000000001
1996-07-01,6.865454545454545,3.294,109.1909,3.571454545454545
1996-08-01,6.635454545454545,3.209,107.8659,3.4264545454545448
1996-09-01,6.832000000000001,2.928,109.931,3.904000000000001
1996-10-01,6.533636363636364,2.8,112.4123,3.7336363636363643
1996-11-01,6.203684210526316,2.759,112.2958,3.4446842105263165
1996-12-01,6.302380952380952,2.597,113.981,3.705380952380952
1997-01-01,6.579047619047619,2.632,117.9124,3.9470476190476185
1997-02-01,6.419473684210526,2.583,122.9621,3.8364736842105263
1997-03-01,6.6945,2.524,122.7738,4.1705
1997-04-01,6.885454545454545,2.382,125.6377,4.503454545454545
1997-05-01,6.710952380952381,2.736,119.1924,3.9749523809523803
1997-06-01,6.493809523809524,2.684,114.2857,3.809809523809524
1997-07-01,6.220454545454545,2.505,115.3759,3.715454545454545
1997-08-01,6.298571428571429,2.354,117.9295,3.944571428571429
1997-09-01,6.208571428571428,2.21,120.89,3.998571428571428
1997-10-01,6.029545454545455,1.994,121.0605,4.035545454545455
1997-11-01,5.875,1.941,125.3817,3.934
1997-12-01,5.808636363636364,1.939,129.7341,3.8696363636363635
1998-01-01,5.5445,1.948,129.5475,3.5965000000000003
1998-02-01,5.574736842105263,2.0,125.8516,3.5747368421052634
1998-03-01,5.647272727272727,1.855,129.0823,3.7922727272727275
1998-04-01,5.637619047619047,1.867,131.7536,3.7706190476190473
1998-05-01,5.6525,1.655,134.896,3.9974999999999996
1998-06-01,5.496363636363636,1.54,140.3305,3.956363636363636
1998-07-01,5.461363636363637,1.683,140.7874,3.778363636363637
1998-08-01,5.341904761904762,1.502,144.68,3.839904761904762
1998-09-01,4.806666666666667,1.103,134.4805,3.703666666666667
1998-10-01,4.529999999999999,0.879,121.0486,3.6509999999999994
1998-11-01,4.827368421052632,0.977,120.2895,3.850368421052632
1998-12-01,4.645,1.488,117.0709,3.1569999999999996
1999-01-01,4.722105263157895,1.91,113.29,2.8121052631578944
1999-02-01,4.998947368421053,2.117,116.6684,2.881947368421053
1999-03-01,5.232608695652174,1.816,119.473,3.416608695652174
1999-04-01,5.184545454545455,1.563,119.7723,3.621545454545455
1999-05-01,5.539499999999999,1.334,121.9995,4.205499999999999
1999-06-01,5.899545454545454,1.632,120.7245,4.267545454545455
1999-07-01,5.791904761904762,1.703,119.3305,4.088904761904762
1999-08-01,5.9390909090909085,1.878,113.2268,4.061090909090908
1999-09-01,5.915238095238095,1.759,106.8752,4.156238095238095
1999-10-01,6.112,1.692,105.965,4.42
1999-11-01,6.034,1.817,104.6485,4.217
1999-12-01,6.275454545454545,1.767,102.5843,4.508454545454546
2000-01-01,6.661,1.691,105.296,4.97
2000-02-01,6.519499999999999,1.796,109.3885,4.723499999999999
2000-03-01,6.256521739130435,1.819,106.3074,4.437521739130435
2000-04-01,5.990526315789474,1.74,105.627,4.2505263157894735
2000-05-01,6.440454545454545,1.705,108.3205,4.735454545454545
2000-06-01,6.097272727272728,1.664,106.1255,4.433272727272728
2000-07-01,6.054,1.689,108.2115,4.365
2000-08-01,5.826086956521739,1.75,108.0804,4.076086956521739
2000-09-01,5.799,1.876,106.8375,3.9230000000000005
2000-10-01,5.738571428571428,1.815,108.4429,3.9235714285714285
2000-11-01,5.717142857142857,1.764,109.0095,3.953142857142857
2000-12-01,5.2405,1.624,112.209,3.6165
2001-01-01,5.160952380952381,1.508,116.6719,3.6529523809523807
2001-02-01,5.098947368421053,1.415,116.2337,3.6839473684210526
2001-03-01,4.885454545454546,1.169,121.505,3.7164545454545457
2001-04-01,5.141,1.315,123.771,3.826
2001-05-01,5.391363636363637,1.25,121.7682,4.141363636363637
2001-06-01,5.284285714285714,1.152,122.351,4.132285714285714
2001-07-01,5.236190476190477,1.305,124.4981,3.9311904761904772
