horizon,month,model,reason,point,low,high,n_errors,ar,var
1,2026-09,ar,var 가 ar 를 이기지 못했다,102.8397535055636,102.81486364186716,102.86462346955976,260,102.8397535055636,102.84171069695691
2,2026-10,ar,var 가 ar 를 이기지 못했다,102.72718258058461,102.63874170343608,102.81592303477453,259,102.72718258058461,102.76086029463151
3,2026-11,ar,var 가 ar 를 이기지 못했다,102.54412880620595,102.33820669278151,102.74015777627248,258,102.54412880620595,102.58144029666934
