target,model,target_mode,fold,n,accuracy,balanced_accuracy,log_loss,brier,auc_gap,auc_session
samsung,Always flat,close_to_close,all,276,0.26811594202898553,0.3333333333333333,1.0993144766556748,0.6677426399971648,0.4468500443655723,0.4583195135433941
samsung,Previous ensemble,close_to_close,all,276,0.4528985507246377,0.4488316663119813,1.0325746992319869,0.6258154310175459,0.8117716651878143,0.4686014372581536
samsung,No macro ensemble,close_to_close,all,276,0.4673913043478261,0.45848951313518244,1.0252957500930127,0.6191224398982735,0.8159716060337179,0.4510779436152571
samsung,No NSI ensemble,close_to_close,all,276,0.4601449275362319,0.4438410063606914,1.0263734623666652,0.6196872225362783,0.8028985507246377,0.4512437810945274
samsung,No flow ensemble,close_to_close,all,276,0.4963768115942029,0.48870587122555625,1.022098354741243,0.6170761487507,0.7937888198757763,0.45046987285793255
samsung,No macro price ensemble,close_to_close,all,276,0.4782608695652174,0.4569043058806838,1.022180324632656,0.6167266993164593,0.7953859804791481,0.45196241017136546
samsung,Logistic,close_to_close,all,276,0.4420289855072464,0.4308978269608191,1.0197388274524068,0.6161381433442894,0.7847382431233363,0.45887230514096183
samsung,LightGBM,close_to_close,all,276,0.42028985507246375,0.401930907285238,1.0462367231196947,0.6327085751485507,0.7766341319136352,0.4521282476506357
samsung,Mean ensemble,close_to_close,all,276,0.463768115942029,0.44634555815658183,1.0260854021580779,0.6190450596257475,0.8,0.45295743504698727
sk_hynix,Always flat,close_to_close,all,276,0.29347826086956524,0.3333333333333333,1.0977014460033858,0.6660620259464932,0.5248450736255614,0.43873668188736675
sk_hynix,Previous ensemble,close_to_close,all,276,0.4746376811594203,0.4537828426717316,0.9954310314562123,0.5971590825579756,0.8218773096821878,0.48619265057621225
sk_hynix,No macro ensemble,close_to_close,all,276,0.4963768115942029,0.45995568217790445,0.9847712111516486,0.5888075502973517,0.8214793336744556,0.4789084583605132
sk_hynix,No NSI ensemble,close_to_close,all,276,0.5072463768115942,0.46185501741057294,0.986757941728396,0.5893045027591974,0.8240946045824096,0.47586431833007176
sk_hynix,No flow ensemble,close_to_close,all,276,0.4891304347826087,0.446343779677113,0.9885148773381315,0.5898334102741126,0.8186935016203308,0.4799412915851272
sk_hynix,No macro price ensemble,close_to_close,all,276,0.5144927536231884,0.47056030389363723,0.9832342270219593,0.5867940686934783,0.8195463073511854,0.4777669058490976
sk_hynix,Logistic,close_to_close,all,276,0.4963768115942029,0.45710667932890153,1.008554483289783,0.6011967586032367,0.811529933481153,0.4819525983909545
sk_hynix,LightGBM,close_to_close,all,276,0.5144927536231884,0.4827477049699272,0.9974167800333196,0.5975516297246455,0.7890727159019842,0.4830941509023702
sk_hynix,Mean ensemble,close_to_close,all,276,0.5,0.46027223805001577,0.9889450220202868,0.5905001666565396,0.8160213769969867,0.48043052837573386
