target,model,window,target_mode,fold,n,accuracy,balanced_accuracy,log_loss,brier,auc_gap,auc_session,seconds,mean_train_rows,folds
samsung,window 3y,3y,close_to_close,all,1362.0,0.44419970631424377,0.42483342348772973,1.0440993173600834,0.6290819581242981,,,15.1,725,12
samsung,window 5y,5y,close_to_close,all,1362.0,0.45594713656387664,0.4341846766338393,1.0290469038871997,0.6188865610272459,,,26.9,1206,12
samsung,window expanding,expanding,close_to_close,all,1362.0,0.45961820851688695,0.4398241187640111,1.026428495044717,0.6171062064544941,,,34.9,2053,12
sk_hynix,window 3y,3y,close_to_close,all,1357.0,0.4915254237288136,0.45828319106854504,1.025633727812841,0.6156235402710707,,,14.6,723,12
sk_hynix,window 5y,5y,close_to_close,all,1357.0,0.5018422991893884,0.46722770298335403,1.0135982787990478,0.6080395416885584,,,26.2,1204,12
sk_hynix,window expanding,expanding,close_to_close,all,1357.0,0.501105379513633,0.4726423333559519,1.0037235113564968,0.6017166288771791,,,32.3,2053,12
