target,model,target_mode,fold,n,accuracy,balanced_accuracy,log_loss,brier,auc_gap,auc_session
samsung,Always flat,close_to_close,all,1362,0.28193832599118945,0.3333333333333333,1.096458095316931,0.6654927469289915,0.4961761868651696,0.46136628273847086
samsung,Previous ensemble,close_to_close,all,1362,0.4486049926578561,0.44252018250223984,1.030222168869641,0.620417655039601,0.8116955806263575,0.5021180739932898
samsung,No macro ensemble,close_to_close,all,1362,0.45594713656387664,0.43400532631244354,1.0282749600366332,0.6182223116278368,0.8086932747316239,0.49709375007441237
samsung,No NSI ensemble,close_to_close,all,1362,0.4500734214390602,0.42812304239487253,1.0340212050928042,0.6223751282497932,0.8050513022888713,0.4981724319394604
samsung,No flow ensemble,close_to_close,all,1362,0.4647577092511013,0.44146873942777054,1.0297707945016212,0.618933275401433,0.798311589829302,0.5011489271520656
samsung,No macro price ensemble,close_to_close,all,1362,0.461086637298091,0.4379694476509668,1.0296612663269449,0.6192472353882804,0.8021263754120432,0.5003536076312576
samsung,Logistic,close_to_close,all,1362,0.460352422907489,0.43846837555719137,1.0424285277626193,0.6240943067168793,0.7994310062883349,0.49698183385441846
samsung,LightGBM,close_to_close,all,1362,0.4412628487518355,0.4206456878780444,1.0450393186821074,0.6294839475423597,0.7754589865412095,0.5061542015015823
samsung,Mean ensemble,close_to_close,all,1362,0.45594713656387664,0.43360480146514835,1.0333935094332551,0.6217152967243389,0.8027789384630464,0.5018751919839411
sk_hynix,Always flat,close_to_close,all,1357,0.27339719970523213,0.3333333333333333,1.0922731196232272,0.6626929508273133,0.49720521692840036,0.47585186836961263
sk_hynix,Previous ensemble,close_to_close,all,1357,0.4745762711864407,0.4624504460857908,1.019683786903067,0.6141487754802194,0.8275833828136197,0.4943185053043099
sk_hynix,No macro ensemble,close_to_close,all,1357,0.5003684598378777,0.46566916438016753,1.0135564905016172,0.6080277908417074,0.8283818922626481,0.4918252898867022
sk_hynix,No NSI ensemble,close_to_close,all,1357,0.501105379513633,0.4641914348620868,1.0260339859603074,0.6164329978340171,0.8245096332998915,0.48414400394739343
sk_hynix,No flow ensemble,close_to_close,all,1357,0.4885777450257922,0.45270683525867533,1.0179672473150922,0.6103797815352707,0.8288195368645196,0.4909641698138273
sk_hynix,No macro price ensemble,close_to_close,all,1357,0.4937361827560796,0.4567108815941247,1.0237015221852213,0.6146232463690336,0.8253311766753342,0.48844011538534526
sk_hynix,Logistic,close_to_close,all,1357,0.4863669859985262,0.45043022506127306,1.0537024883974495,0.6271345096171512,0.8003803157183513,0.48413451502097055
sk_hynix,LightGBM,close_to_close,all,1357,0.48784082535003687,0.45445590605314123,1.0282604172283145,0.6175650803635101,0.8139293831002642,0.48947203613383183
sk_hynix,Mean ensemble,close_to_close,all,1357,0.4915254237288136,0.4556843099342632,1.0267020938310418,0.6166021188934068,0.822815360045863,0.4843930882659936
