target,model,retrain_every,target_mode,fold,n,accuracy,balanced_accuracy,log_loss,brier,auc_gap,auc_session,seconds,actual_trainings
samsung,retrain 1,1,close_to_close,all,1362.0,0.45301027900146845,0.4303119295643219,1.0252355705297203,0.6158015579789374,,,245.4,2724
samsung,retrain 21,21,close_to_close,all,1362.0,0.45080763582966227,0.4276120609852667,1.0267000520809373,0.6168073557386791,,,41.3,138
samsung,retrain 5,5,close_to_close,all,1362.0,0.4500734214390602,0.42721234938639246,1.024585381705418,0.6154843580890318,,,78.3,554
samsung,retrain fold,fold,close_to_close,all,1362.0,0.45594713656387664,0.43400532631244354,1.0282749600366332,0.6182223116278368,,,26.7,12
sk_hynix,retrain 1,1,close_to_close,all,1357.0,0.505526897568165,0.4704135013867874,1.0150192990727238,0.6083246501790254,,,207.9,2714
sk_hynix,retrain 21,21,close_to_close,all,1357.0,0.49815770081061167,0.4628670787460251,1.0178667027190016,0.610160512300791,,,34.9,136
sk_hynix,retrain 5,5,close_to_close,all,1357.0,0.501105379513633,0.46540067492804277,1.014272871377733,0.6078415517221339,,,62.5,552
sk_hynix,retrain fold,fold,close_to_close,all,1357.0,0.5003684598378777,0.46566916438016753,1.0135564905016172,0.6080277908417074,,,26.0,12
